region,region_name,south,west,window_key,window_sha256,variant,spacing_m,phase_x_m,phase_y_m,report_cell_count,stratum,slope_deg,contact_m,pzi_min,valid_source_cell_count,valid_source_area_m2,coverage_fraction,susceptible_cell_count,susceptible_area_m2,reference_area_m2,area_ratio,fractional_departure,structural_zero
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,glacier_contact,25,0.0,,1283957,1155561300,0.6268666262412033,12672,11404800,11404800.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,glacier_contact,25,100.0,,1283957,1155561300,0.6268666262412033,57819,52037100,52037100.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,glacier_contact,25,300.0,,1283957,1155561300,0.6268666262412033,126652,113986800,113986800.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,permafrost,25,,0.1,1283957,1155561300,0.6268666262412033,448270,403443000,403443000.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,permafrost,25,,0.5,1283957,1155561300,0.6268666262412033,448270,403443000,403443000.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,glacier_contact,30,0.0,,1283957,1155561300,0.6268666262412033,7702,6931800,6931800.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,glacier_contact,30,100.0,,1283957,1155561300,0.6268666262412033,38481,34632900,34632900.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,glacier_contact,30,300.0,,1283957,1155561300,0.6268666262412033,87328,78595200,78595200.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,permafrost,30,,0.1,1283957,1155561300,0.6268666262412033,299587,269628300,269628300.0,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,2048214,permafrost,30,,0.5,1283957,1155561300,0.6268666262412033,299587,269628300,269628300.0,1.0,0.0,no
