region,variant,source_count,source_order,source_set_sha256,height,width,transform,finite_cell_count,committed_value_sha256,replay_value_sha256,array_identical,max_absolute_difference
03,p00,9,dem_03_N80_00_W086_00;dem_03_N80_00_W085_00;dem_03_N80_00_W084_00;dem_03_N81_00_W086_00;dem_03_N81_00_W085_00;dem_03_N81_00_W084_00;dem_03_N82_00_W086_00;dem_03_N82_00_W085_00;dem_03_N82_00_W084_00,a5dbcc943b9f39be03903bc4356c9ee11f97ce34d014de54fafff6de5bd5d3ab,3792,651,"30.0,0.0,-9750.0,0.0,-30.0,56910.0",2468592,7ac17becb024856368977ea262aba1a367369114bd3e460a8a24f59e0108506f,7ac17becb024856368977ea262aba1a367369114bd3e460a8a24f59e0108506f,yes,0.0
03,p10,9,dem_03_N80_00_W086_00;dem_03_N80_00_W085_00;dem_03_N80_00_W084_00;dem_03_N81_00_W086_00;dem_03_N81_00_W085_00;dem_03_N81_00_W084_00;dem_03_N82_00_W086_00;dem_03_N82_00_W085_00;dem_03_N82_00_W084_00,a5dbcc943b9f39be03903bc4356c9ee11f97ce34d014de54fafff6de5bd5d3ab,3791,651,"30.0,0.0,-9765.0,0.0,-30.0,56880.0",2467941,b6b7eb6c121ee2ef0d58676c2a88b9e0b696331145896de8f6ef5e3c29e24bf2,b6b7eb6c121ee2ef0d58676c2a88b9e0b696331145896de8f6ef5e3c29e24bf2,yes,0.0
03,p01,9,dem_03_N80_00_W086_00;dem_03_N80_00_W085_00;dem_03_N80_00_W084_00;dem_03_N81_00_W086_00;dem_03_N81_00_W085_00;dem_03_N81_00_W084_00;dem_03_N82_00_W086_00;dem_03_N82_00_W085_00;dem_03_N82_00_W084_00,a5dbcc943b9f39be03903bc4356c9ee11f97ce34d014de54fafff6de5bd5d3ab,3791,650,"30.0,0.0,-9750.0,0.0,-30.0,56895.0",2464150,6604edcd5ac1f9d20396b2790fc6441c45a31a1baf486070f38b3baf38cd665e,6604edcd5ac1f9d20396b2790fc6441c45a31a1baf486070f38b3baf38cd665e,yes,0.0
03,p11,9,dem_03_N80_00_W086_00;dem_03_N80_00_W085_00;dem_03_N80_00_W084_00;dem_03_N81_00_W086_00;dem_03_N81_00_W085_00;dem_03_N81_00_W084_00;dem_03_N82_00_W086_00;dem_03_N82_00_W085_00;dem_03_N82_00_W084_00,a5dbcc943b9f39be03903bc4356c9ee11f97ce34d014de54fafff6de5bd5d3ab,3791,651,"30.0,0.0,-9765.0,0.0,-30.0,56895.0",2467941,a2fcf2a66d85210f6cbbab1bc8e461089a199e0c766dfed4ebc4abc522232f8a,a2fcf2a66d85210f6cbbab1bc8e461089a199e0c766dfed4ebc4abc522232f8a,yes,0.0
07,p00,7,dem_07_N76_00_E017_00;dem_07_N77_00_E017_00;dem_07_N77_00_E018_00;dem_07_N77_00_E019_00;dem_07_N78_00_E017_00;dem_07_N78_00_E018_00;dem_07_N78_00_E019_00,aa1c49d8d701075fd0828b3ba3d19d47895d5765defc9faf047be0bcb324e71e,3792,906,"30.0,0.0,-13590.0,0.0,-30.0,56940.0",3405460,843ad7da2c0a63b63cd449972c53aeabbb8ed8b9afc399e9f129ee10cc5fd635,843ad7da2c0a63b63cd449972c53aeabbb8ed8b9afc399e9f129ee10cc5fd635,yes,0.0
07,p10,7,dem_07_N76_00_E017_00;dem_07_N77_00_E017_00;dem_07_N77_00_E018_00;dem_07_N77_00_E019_00;dem_07_N78_00_E017_00;dem_07_N78_00_E018_00;dem_07_N78_00_E019_00,aa1c49d8d701075fd0828b3ba3d19d47895d5765defc9faf047be0bcb324e71e,3790,905,"30.0,0.0,-13575.0,0.0,-30.0,56880.0",3399858,9260297ce2418d22cf53ef18de472d63810369aa2859e36a6baae10646ccbeb4,9260297ce2418d22cf53ef18de472d63810369aa2859e36a6baae10646ccbeb4,yes,0.0
07,p01,7,dem_07_N76_00_E017_00;dem_07_N77_00_E017_00;dem_07_N77_00_E018_00;dem_07_N77_00_E019_00;dem_07_N78_00_E017_00;dem_07_N78_00_E018_00;dem_07_N78_00_E019_00,aa1c49d8d701075fd0828b3ba3d19d47895d5765defc9faf047be0bcb324e71e,3791,906,"30.0,0.0,-13590.0,0.0,-30.0,56895.0",3404150,d131f4deac58353f52153e8c01eb5eecbeed025340b28a6e2151f0d72a571e0e,d131f4deac58353f52153e8c01eb5eecbeed025340b28a6e2151f0d72a571e0e,yes,0.0
07,p11,7,dem_07_N76_00_E017_00;dem_07_N77_00_E017_00;dem_07_N77_00_E018_00;dem_07_N77_00_E019_00;dem_07_N78_00_E017_00;dem_07_N78_00_E018_00;dem_07_N78_00_E019_00,aa1c49d8d701075fd0828b3ba3d19d47895d5765defc9faf047be0bcb324e71e,3791,905,"30.0,0.0,-13575.0,0.0,-30.0,56895.0",3400357,a920a585db8e4796b9fc0e213c7bd38ac33bbae6ac42abd971ebea7e5925aa6f,a920a585db8e4796b9fc0e213c7bd38ac33bbae6ac42abd971ebea7e5925aa6f,yes,0.0
08,p00,9,dem_08_N68_00_E020_00;dem_08_N68_00_E021_00;dem_08_N68_00_E022_00;dem_08_N69_00_E020_00;dem_08_N69_00_E021_00;dem_08_N69_00_E022_00;dem_08_N70_00_E020_00;dem_08_N70_00_E021_00;dem_08_N70_00_E022_00,59aef345a04ef4ba1afa345bcd7b56d2fc84a48620ad5c7df7877ce1f8b414bb,3789,1404,"30.0,0.0,-21030.0,0.0,-30.0,56880.0",5319756,09f9eea5edede2d773f104f2d0207ac8b402d15abae2a3ae7833d1108280640d,09f9eea5edede2d773f104f2d0207ac8b402d15abae2a3ae7833d1108280640d,yes,0.0
08,p10,9,dem_08_N68_00_E020_00;dem_08_N68_00_E021_00;dem_08_N68_00_E022_00;dem_08_N69_00_E020_00;dem_08_N69_00_E021_00;dem_08_N69_00_E022_00;dem_08_N70_00_E020_00;dem_08_N70_00_E021_00;dem_08_N70_00_E022_00,59aef345a04ef4ba1afa345bcd7b56d2fc84a48620ad5c7df7877ce1f8b414bb,3789,1401,"30.0,0.0,-21015.0,0.0,-30.0,56880.0",5308389,72bc85359a514d71ccbc4db28e50c7c54c3dab9c2254ce388b66a8d43a3ed6f0,72bc85359a514d71ccbc4db28e50c7c54c3dab9c2254ce388b66a8d43a3ed6f0,yes,0.0
