region,key,digest,selection_rank,selected,south,west,glacier_count,catalog_area_km2
03,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,1,yes,81,-85,116,521.7686354568048
03,rgi7.0|03|south=+74|west=-088,03154c35d021e76e28f468ee4b31de56e920322a707cee2e384b17f102b67f50,2,no,74,-88,18,394.9134096264271
03,rgi7.0|03|south=+81|west=-076,03692ac76fb4fa53463ff70443165e41781de9ae066cba0a4c0e6802d7c53a49,3,no,81,-76,39,515.9372289468357
03,rgi7.0|03|south=+76|west=-085,042356f65929928ebed1e6b856400fb9512fc4319bbde77010dd43aa032a8ce0,4,no,76,-85,90,786.7004435299847
03,rgi7.0|03|south=+81|west=-080,04fb4b89dda7418a98a783ba88760b7865aa0bd02243a92ab6bcb2dff5e0025f,5,no,81,-80,63,1766.3009698466315
03,rgi7.0|03|south=+76|west=-087,05df8f676b409a8d046533143ce9bdafa51c2d6a6717e4e0dd3c64ab12cd8498,6,no,76,-87,35,713.7119712328738
03,rgi7.0|03|south=+80|west=-071,077cea727ca406bc48f892630ac3b362a2b4b6182ad492ec72584796b17a1bbe,7,no,80,-71,36,638.3948813195967
03,rgi7.0|03|south=+80|west=-072,089d8f81633c9d56b1e19480bc26fd619a66bdbf2bd520ffaff47aa803bffa58,8,no,80,-72,48,807.6037134399486
03,rgi7.0|03|south=+81|west=-079,099d20973e44300bee89050a32ba807e2ad8f91bb307f3d394c5b0913b6a5d94,9,no,81,-79,58,163.07160005507802
03,rgi7.0|03|south=+79|west=-092,0b232e388308a55209bd5a704043a537782f23d67c62d8ec3649bd31c5f1c989,10,no,79,-92,22,1523.593700049741
03,rgi7.0|03|south=+81|west=-084,0c17469b80f563c6f22d2c84459c5b13d3b27311bb846a1213957a635a6f82e6,11,no,81,-84,84,897.9094260657056
03,rgi7.0|03|south=+81|west=-086,0f029bc8d7ffe1725c52a834b81bc0ffae5f1f592dbac026a059d22ca7c51344,12,no,81,-86,122,502.9466638727509
03,rgi7.0|03|south=+76|west=-090,0fdc2600cebc2f4290685fc0155163fb8a67443cab88e022942ac932f2795d0f,13,no,76,-90,25,187.96515944518754
03,rgi7.0|03|south=+79|west=-095,146071612bbb481c91f7f0db09c9ae33e4205d53282fa570e40a4d56dd25a4b9,14,no,79,-95,29,255.18808078983213
03,rgi7.0|03|south=+78|west=-090,158533efe43801aab8c9a2da1f4f379c9bd1765e9717201cc1bef3a5c374e5a6,15,no,78,-90,51,1033.4763501975976
03,rgi7.0|03|south=+78|west=-089,1c6c31310fa86e5ee3a928575ea8a317ea9d3ba3d6e982b87284343b6f4ee342,16,no,78,-89,40,285.6866059234114
03,rgi7.0|03|south=+82|west=-073,1cc9f7e8875201be2346f8b5ffde9110073ba7eba54948955e1f85419489ba26,17,no,82,-73,94,2118.111234216056
03,rgi7.0|03|south=+81|west=-068,2115893504d5cdd06081fb733a7f730294f5dc72f47d980791d206046b2f015e,18,no,81,-68,23,123.77166985421312
03,rgi7.0|03|south=+79|west=-073,22ca9d6072f3c04ffc2b5dfb6ea07ca53fc0645084516546cc3d21aa31b871e4,19,no,79,-73,68,123.48412975290603
03,rgi7.0|03|south=+80|west=-070,22e109aa71d696d01b90a5a45a0f63ae0d44f66242316bf994dfb000e1036e06,20,no,80,-70,67,479.9073078820239
03,rgi7.0|03|south=+80|west=-095,22f12b06aa782baadf78949c7df2f946998ca9d8dd319b893a3bbd2ad44a4008,21,no,80,-95,54,232.91323017047804
03,rgi7.0|03|south=+82|west=-075,23404f8f084ad8bc94afc23c4962b3ad70337aa66faf8b6b732b7c940e5e67b1,22,no,82,-75,63,446.9119879734025
03,rgi7.0|03|south=+78|west=-078,23f2ab69982c49f0622d20311036c27821cc29dad90886ec19c46fd27e514a7b,23,no,78,-78,17,1887.4337922339305
03,rgi7.0|03|south=+81|west=-075,27b28e577d7e2dc586b96beca8b9800be4a05151a9c469cec5fa34a41d1fc1a7,24,no,81,-75,21,605.7347335123895
03,rgi7.0|03|south=+82|west=-081,2b57205d717c7ff50d08a0e6a479ee057c337029cf2b4279c02cbbcbf0afb5ca,25,no,82,-81,87,429.7010424177235
03,rgi7.0|03|south=+76|west=-080,2cc31fc792f0a21ad6cc198a305477a650b850f14d18aee04f32b9acf13c03af,26,no,76,-80,24,1149.9303186203385
03,rgi7.0|03|south=+79|west=-081,2d3186b124975998fc92d6b5ef293db965e9fb1b104b26e112a0dd0fd7d725ed,27,no,79,-81,61,708.629900585927
03,rgi7.0|03|south=+80|west=-077,2e8644c2cb30d99c8a03d15a39f9205618a729db9d71a5faf66e1a955015d994,28,no,80,-77,10,1622.4456788539824
03,rgi7.0|03|south=+76|west=-092,2fc6360dde0d4ed116af3e4f68ddfc3318e6f4e4a04c42f63803ae7b05f6542a,29,no,76,-92,11,133.34572706183894
03,rgi7.0|03|south=+79|west=-089,2ffafcaded8fd5bbd474aa75bc86f25acd65b836e4fef33a5a0fde3ba4019a31,30,no,79,-89,22,398.4120474806969
03,rgi7.0|03|south=+82|west=-083,307d9877a1514735824a901ae9ad611c903e60c34bab846134d3179fa5662c96,31,no,82,-83,45,370.1074936352435
03,rgi7.0|03|south=+82|west=-077,326b4c2d4fee92b2921d2f375b249b2d8a11d92db40c0a7272a510a1634d5fff,32,no,82,-77,56,293.20885073152726
03,rgi7.0|03|south=+74|west=-087,334eae1fb62485c34105df6c0a16359f30ab5c6c2d9bdd098a6bb050445a2673,33,no,74,-87,23,74.43912327744337
03,rgi7.0|03|south=+79|west=-093,367b58be3dd7305140b5e217155a3fa6783ea80932007bc4b3599791d6523ce2,34,no,79,-93,24,768.0943615664796
03,rgi7.0|03|south=+77|west=-084,38f3af660e37706ac8f63ba112d8b6c0b7464059aee8c429e7a36ac8ac356bbc,35,no,77,-84,21,74.12553935401634
03,rgi7.0|03|south=+82|west=-082,3ab6f33888b89b2dccdb5144bb3546fcb6fb7f28da638b0168e672fa5504f46c,36,no,82,-82,51,228.57549278494128
03,rgi7.0|03|south=+80|west=-093,3b41cd3e590db38bc759ae1ceced521fb290854158e684a448bb3f275613f706,37,no,80,-93,54,860.1885265826627
03,rgi7.0|03|south=+79|west=-079,3ba30e4b8e1e746b09da054c6c576a31574c789bd258d0c1324d8cc4ce9143aa,38,no,79,-79,35,1807.0555647744002
03,rgi7.0|03|south=+76|west=-095,3ca7ea97b3ce51a3741a6699a66c6881a5602937a118cd25b8d0931d0d86ec4a,39,no,76,-95,17,5.212701920106167
03,rgi7.0|03|south=+75|west=-086,3d2f2e9c508ad7913433f2e39565a95d77e7146157a4e380462691851d57e1b9,40,no,75,-86,16,34.37882075235434
03,rgi7.0|03|south=+81|west=-091,3e5c807807a8c647b68c6d726fbc5338bcd241e54cfecfacc0b12f871608c295,41,no,81,-91,18,101.15364000769036
03,rgi7.0|03|south=+76|west=-086,42bcdc7a3ab0421b44131cb0ee2cda92291c35e22b0e628222e82cd297eb75fc,42,no,76,-86,43,1267.0416734896407
03,rgi7.0|03|south=+76|west=-082,48f37671e9a5a248f0429778fee6d4e59bd430e68c6247928b3fe0cb460f4dd2,43,no,76,-82,19,234.82812554409364
03,rgi7.0|03|south=+82|west=-072,490533f6067fe4eef3bb81e6bca72d383c8ffe2a07edefd3c797a021f2ef3ce7,44,no,82,-72,56,927.8550097581319
03,rgi7.0|03|south=+82|west=-068,4b09dc2e5b44c2047d643b75d96b2bac055097107dd7c8792d35fbf87d647ded,45,no,82,-68,33,539.5029353851586
03,rgi7.0|03|south=+78|west=-091,4ca4721b5c995ef4a0fd562e16d400c3cf8912b5b66a2f34520baa60e4642688,46,no,78,-91,31,305.9660301154864
03,rgi7.0|03|south=+78|west=-085,4e98818a941be362d123a8e5d6784d2bb21a2f9ebbb6dca2fecda531f0636e88,47,no,78,-85,19,64.75126697912302
03,rgi7.0|03|south=+80|west=-083,5633ca8ccc991551f24e96881afe005415443e7fac5adac8111655c6ad1ccc9b,48,no,80,-83,33,263.9645309148296
03,rgi7.0|03|south=+77|west=-080,57a196514b109e2b70fa236a3e878fb2893cc445fc0ee95bc988bdac84fb52c4,49,no,77,-80,31,754.9821978855623
03,rgi7.0|03|south=+81|west=-073,5b340db9eff969b21934f69ce6448eeddff1c00918ae7df53baffe1af08a8e3b,50,no,81,-73,22,1241.5059846012118
03,rgi7.0|03|south=+81|west=-082,5c0748f42c4e81efa070ace9927d7a8047c72fd6a814fb1ce1bd7f4e94797e45,51,no,81,-82,84,1671.2028588121048
03,rgi7.0|03|south=+81|west=-078,5d3f9d24212123731d12f4b7504af4aa27c85dc669a0a273dca449b090134ea4,52,no,81,-78,56,443.16054189564665
03,rgi7.0|03|south=+82|west=-087,5d63e681782a0a3c7271be086c361e79765b524a5debef19b25cb5644eb20923,53,no,82,-87,18,82.87009073805112
03,rgi7.0|03|south=+81|west=-069,5fab26c5f12e150e5f6012e4cc0c43e9b23dea07a6417e27c616a7c1fe7684a1,54,no,81,-69,20,144.75434929504817
03,rgi7.0|03|south=+76|west=-083,6029faec49ecc9beed90dde803bc2881286f82b3b1fee8763a306cd2952e4786,55,no,76,-83,51,251.62818785865173
03,rgi7.0|03|south=+81|west=-072,6227738f7320a11479e89d5e097442f1962f148cbf1730ba5bb7cad38fdfeaea,56,no,81,-72,19,111.70631078883142
03,rgi7.0|03|south=+80|west=-086,63a47770f53ba751a9b7523a45fb48651f3b0d4486132a45f617554efc506c70,57,no,80,-86,40,94.94268452608277
03,rgi7.0|03|south=+82|west=-076,682a289357cf243b4b03f1e13f2d1d040a71229ad6f003534f2ed17225882ff9,58,no,82,-76,91,1636.2130250239916
03,rgi7.0|03|south=+76|west=-079,696478dd7ef3061701dc93dddb4b2b7dd2bc77d2b9ebfd32e39b0abfe6b57695,59,no,76,-79,48,934.5535176919535
03,rgi7.0|03|south=+82|west=-084,699e2d18ca90ac2fe305a7a49fa1b2f707ea07d7edfde2ec001be05a3c0a9a3c,60,no,82,-84,28,286.5631067894643
03,rgi7.0|03|south=+74|west=-083,6bfa7dc9f59903f825760190eeede22600f806ef76cca9a89ac322d1242964c9,61,no,74,-83,12,561.3378724037582
03,rgi7.0|03|south=+82|west=-067,70e7028aa960634084bbaa9dfdbe484f4fba5065e8a7ba88c57561233f9214f4,62,no,82,-67,21,363.23972668672707
03,rgi7.0|03|south=+82|west=-085,7365f0447060226d1cee8749bac56bbad2e0da3df6754076ca4380d514c569a2,63,no,82,-85,18,540.4566948421982
03,rgi7.0|03|south=+82|west=-074,7442d1105018d4f3f0b9bf31cc7a3ded7b68cdc6adeb6870303cf1d4435862bf,64,no,82,-74,68,155.51893159013468
03,rgi7.0|03|south=+80|west=-075,7457c8423666b60a11f04a29d5ec927e8a888e101de7202db53718d1ed3d0fa6,65,no,80,-75,11,3955.190452320656
03,rgi7.0|03|south=+77|west=-085,76a9dc0bb73fc8823e9baed9cc70e0663e9184496bf4f0dabe912c0bbbf547ca,66,no,77,-85,27,74.63054439633757
03,rgi7.0|03|south=+81|west=-071,7ad96f5cee0aded1c4984433c35361a78a34308fd0f234739b7bc749a0ef6b31,67,no,81,-71,29,142.01477834910887
03,rgi7.0|03|south=+77|west=-081,7b63194a7798ede3ef3f7edae3145f2868b7da590a893d785df438ba969cd0d2,68,no,77,-81,38,932.990571360965
03,rgi7.0|03|south=+79|west=-075,7ff7ab159c3b3dfda4e1afad897a90fc08223832fa715f92757c4b8c32d6f75b,69,no,79,-75,71,284.8427170059394
03,rgi7.0|03|south=+82|west=-066,8073946cdf22aba1a7715f40b58c1b2b46a865fbf381fed0986be9fca5c98155,70,no,82,-66,25,128.09535198610283
03,rgi7.0|03|south=+81|west=-081,811a337c789ae51adc7ba916058116fcf8431003594ce931c6a21685309c9c7e,71,no,81,-81,78,1447.5660462193052
03,rgi7.0|03|south=+76|west=-088,82c50f08e8a44271cc69157b5552cbddedafc1c5ecf758aea84cc193644b9353,72,no,76,-88,11,134.63402199768643
03,rgi7.0|03|south=+79|west=-074,84e1ab1f7d3da85570b9f40a0ddeabfa57ca1fdecaa8a40d086923c8cf9c9808,73,no,79,-74,59,215.23841052350403
03,rgi7.0|03|south=+80|west=-092,8606139cb9677f01697bb5a0b0bc9b04d0697300e6919404e45986789083a002,74,no,80,-92,16,664.89155239255
03,rgi7.0|03|south=+81|west=-087,870ebb5aee63349c59099de395abe3734e91a8bc7eede96a7e200457cb2dafe6,75,no,81,-87,144,237.1657452529957
03,rgi7.0|03|south=+75|west=-080,878878103f1b9e846ec4447feb74b7dab484e9b69c25b62061dacc940f272506,76,no,75,-80,29,298.33558444070314
03,rgi7.0|03|south=+81|west=-083,87c959b383f2dca96b518f00144c1ba62bac544c8f5679e08f44ab68941ca9dd,77,no,81,-83,61,1193.8705992580085
03,rgi7.0|03|south=+81|west=-088,898b7d2e234241a02be50ae8492a350b39fe6aa7f7e84b990d9335d3ced76f2e,78,no,81,-88,70,291.5383456126332
03,rgi7.0|03|south=+80|west=-084,8a8357def20590a44fc9a718354acf08286cdcd96e0ae32bfe44d37571ee80fc,79,no,80,-84,21,62.21892194243119
03,rgi7.0|03|south=+78|west=-077,8b0128a3822b072ff7d149529972cc46b8d3485e78bd802ded4f83fd5b39338b,80,no,78,-77,34,1982.2581267980029
03,rgi7.0|03|south=+82|west=-069,8d2977c31037b1420a35a56f2fda9a100a2a190de2b5e27c7cc6da5f81a8d306,81,no,82,-69,25,202.71943090054762
03,rgi7.0|03|south=+79|west=-078,9284341cbbd25bac23ae3cd379d37b44b27e3a4054d8d109c4b80982159f85f8,82,no,79,-78,44,409.1555488782316
03,rgi7.0|03|south=+78|west=-076,98f95a6d0be9d978b856310d66de170de99b3dd416180166391916d6dc36af45,83,no,78,-76,29,821.6875077125386
03,rgi7.0|03|south=+79|west=-091,9b10d19e6ba3ef9997724840e284c05734524192fb8a363f47841a1e016fcfcb,84,no,79,-91,23,1180.036682884026
03,rgi7.0|03|south=+80|west=-096,9bf71feba04908bcdc191ecbde0df2288486c1f62fc60d0cf198501e59830095,85,no,80,-96,16,40.41220814013425
03,rgi7.0|03|south=+79|west=-090,9c5cee7915ab421f199024a3d7ddd164041c105d00bfaf83ba593086673aa7a9,86,no,79,-90,23,1274.6176594001338
03,rgi7.0|03|south=+80|west=-081,9cab7a1fbb065dde1c4bdafc854a0622ba71a00519188a6213ad25e14bd988d3,87,no,80,-81,34,562.5426496067162
03,rgi7.0|03|south=+82|west=-070,9f1277d1b9eae397eac34985e0441cbcb76900af4fcef993953ffdd2e3753dae,88,no,82,-70,66,613.737846687835
03,rgi7.0|03|south=+80|west=-085,a394ff0491ad97a64f66e2fc9b491a11c801befd52e67aa4504a5de25ffd7472,89,no,80,-85,45,412.9158766784867
03,rgi7.0|03|south=+81|west=-094,a5933a52ad62c530927858e7fb33fea27660184fac75303b085daa7c602efe4f,90,no,81,-94,10,44.48914125463406
03,rgi7.0|03|south=+78|west=-086,a82cf816466815a9dddafb27612fffa8b1e91430cd903f71151abe094cec4082,91,no,78,-86,19,71.26068273536465
03,rgi7.0|03|south=+81|west=-089,aaac5bc88c8bb3649446f75609aa07d82c6e8ed8cafcdf2b393eb174ae3e9416,92,no,81,-89,61,199.71853845235026
03,rgi7.0|03|south=+82|west=-078,ad703aacd23263a1679de61ed373e0ed060356a61a96edfe0e1becc6f334a7de,93,no,82,-78,56,1714.6330439748347
03,rgi7.0|03|south=+82|west=-080,ae6cf610ed7b6da8c550d4e6419367e8a341bcc226c62c826108725cb1e5ae40,94,no,82,-80,87,870.4641169158905
03,rgi7.0|03|south=+80|west=-079,aef5cd9b91900e3ca4ed2a760bf8290aa2d1c5892031e38a74a6d5d10a2fb2b1,95,no,80,-79,15,1533.411031275839
03,rgi7.0|03|south=+78|west=-079,b155dbe426d5bd225f36832df71180ecb9c5561947e777f6a2e719b5aa8c7afe,96,no,78,-79,17,2770.3043097904783
03,rgi7.0|03|south=+82|west=-086,b4261b4887372e8bbc831f47d9142db39a9087edaf43fa9e1cc60281629b073e,97,no,82,-86,31,211.71559490097678
03,rgi7.0|03|south=+74|west=-085,b7fafaaec8407caadea0af90402714f2e888598ffc6dd344c1d07bac752b8906,98,no,74,-85,17,32.50355814025939
03,rgi7.0|03|south=+79|west=-077,bb9acab9968724f89e59982c1cdee28a787fcbc9512a0895685ce13b1cb243e9,99,no,79,-77,30,2002.510333935771
03,rgi7.0|03|south=+76|west=-091,bba1ca7bb06eafda9eafcfdafb0eb54530439998b0e82fc502987b17c7346830,100,no,76,-91,17,297.6195253556623
03,rgi7.0|03|south=+82|west=-079,bd07695b28b57b36814e7c92e72419d66e0335e934f5ec389ad94f6ae04e6786,101,no,82,-79,57,127.30284020576597
03,rgi7.0|03|south=+81|west=-070,bd44414a266762517f1fcdcdabe118b6ec9bd5885664c04aea17a9b9776c6220,102,no,81,-70,19,97.50342419988951
03,rgi7.0|03|south=+79|west=-082,bd60902b45831c8e2625bf0df7ed904fa8a1edcacab88bbf453aa4b9f4c86e09,103,no,79,-82,13,22.072910172740862
03,rgi7.0|03|south=+81|west=-090,bea2ad0c9e231c0e34e59608bd9422722ce7e282dd8b44e03c88051d9889f661,104,no,81,-90,15,158.03056403751032
03,rgi7.0|03|south=+80|west=-082,bf1dcbba919eb36be38a60fc12a80487a236b8ecc08febd65fe43aeabfb0f17f,105,no,80,-82,28,103.86137235744233
03,rgi7.0|03|south=+74|west=-090,c25f33498e4bfe040073f0851d1e37c394d1c1de564447e8f378b5f6114c4652,106,no,74,-90,24,143.73314721222897
03,rgi7.0|03|south=+80|west=-073,c4130383cd5716505f16faf7357ad07cb28db06e895f1cb845fa5721a460b421,107,no,80,-73,28,1139.5854896842704
03,rgi7.0|03|south=+80|west=-078,c6a121d02643acbfdd973883d4b6c695fdb6fdd4f61f2da0691450cf388e12f1,108,no,80,-78,10,303.2631224339421
03,rgi7.0|03|south=+78|west=-084,c73adda28410103a75248f2ebbce85bfd3b7320fe8c9d8f2fca6ebb35f759883,109,no,78,-84,10,15.981648564988483
03,rgi7.0|03|south=+79|west=-084,c8a4465735cd941456e10c4ebade6badfdb695270ae112570f33efc513946665,110,no,79,-84,26,49.57683796767029
03,rgi7.0|03|south=+79|west=-083,c9c8f6ac80caa747f27ca847dc6dd47a237dae167bc211722321ff60aacbf2a0,111,no,79,-83,34,236.44074500502387
