region,variant,report_cell_count,finite_dem_cell_count,dem_missing_cell_count,dem_coverage_fraction,finite_pzi_cell_count,pzi_missing_cell_count,pzi_coverage_fraction
03,p00,2048214,2048214,0,1.0,2048214,0,1.0
03,p10,2048228,2048228,0,1.0,2048228,0,1.0
03,p01,2048338,2048338,0,1.0,2048338,0,1.0
03,p11,2048351,2048351,0,1.0,2048351,0,1.0
07,p00,2998350,2997898,452,0.9998492504210649,2998350,0,1.0
07,p10,2998382,2997931,451,0.9998495855431363,2998382,0,1.0
07,p01,2998240,2997826,414,0.9998619189924756,2998240,0,1.0
07,p11,2998269,2997853,416,0.9998612532764739,2998269,0,1.0
08,p00,4846360,4846360,0,1.0,4846360,0,1.0
08,p10,4846330,4846330,0,1.0,4846330,0,1.0
08,p01,4846480,4846480,0,1.0,4846480,0,1.0
08,p11,4846445,4846445,0,1.0,4846445,0,1.0
