candidate_id,coordinate_status,coordinate_unresolved_reason,time_status,time_unresolved_reason,selected,exclusion_reason
aru-1-2016,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
aru-2-2016,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
askja-2014,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
aysen-2007-mentirosa,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
aysen-2007-punta-cola,accepted,,accepted,,True,selected
baige-2018-nov,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
baige-2018-oct,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
blatten-2025,unresolved,geometry_ambiguous,unresolved,pulse_allocation_unknown,False,coordinate=geometry_ambiguous;time=pulse_allocation_unknown
bukadaban-2022,accepted,,accepted,,True,selected
cengalo-2011,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
cengalo-2017,unresolved,geometry_ambiguous,conflict,conflicting_primary_sources,False,coordinate=geometry_ambiguous;time=conflicting_primary_sources
chamoli-2021,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
chehalis-2007,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
denali-black-rapids-e-2002,accepted,,accepted,,True,selected
denali-black-rapids-m-2002,accepted,,accepted,,True,selected
denali-black-rapids-w-2002,accepted,,accepted,,True,selected
denali-mcginnis-n-2002,accepted,,accepted,,True,selected
denali-mcginnis-s-2002,accepted,,accepted,,True,selected
denali-west-fork-n-2002,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
denali-west-fork-s-2002,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
dickson-2023,accepted,,accepted,,True,selected
dykhtau-2023,unresolved,not_reported,unresolved,time_basis_unknown,False,coordinate=not_reported;time=time_basis_unknown
elliot-creek-2020,unresolved,geometry_ambiguous,unresolved,not_reported,False,coordinate=geometry_ambiguous;time=not_reported
eqip-sermia-2014,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
flat-creek-2013,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
haast-2013,accepted,,unresolved,time_basis_unknown,False,coordinate=accepted;time=time_basis_unknown
hillary-2014,accepted,,accepted,,True,selected
iliamna-2003,accepted,,unresolved,pulse_allocation_unknown,False,coordinate=accepted;time=pulse_allocation_unknown
karrat-2017,accepted,,accepted,,True,selected
kolka-2002,accepted,,accepted,,True,selected
la-perouse-2014,accepted,,accepted,,True,selected
laguna513-2010,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
lamplugh-2016,accepted,,accepted,,True,selected
langtang-2015,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
lituya-2012,accepted,,accepted,,True,selected
marmolada-2022,accepted,,accepted,,True,selected
meager-2010,accepted,,accepted,,True,selected
naltar-2021,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
paat-2000,unresolved,geometry_ambiguous,conflict,conflicting_primary_sources,False,coordinate=geometry_ambiguous;time=conflicting_primary_sources
pedersen-2024,accepted,,accepted,,True,selected
piz-scerscen-2024,unresolved,source_inaccessible,unresolved,time_basis_unknown,False,coordinate=source_inaccessible;time=time_basis_unknown
sedongpu-2017-oct,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
sedongpu-2018,unresolved,geometry_ambiguous,conflict,conflicting_primary_sources,False,coordinate=geometry_ambiguous;time=conflicting_primary_sources
sedongpu-2021-mar,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
seti-2012,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
steele-2007,accepted,,accepted,,True,selected
steller-2005,accepted,,accepted,,True,selected
taan-2015,accepted,,accepted,,True,selected
thurwieser-2004,accepted,,accepted,,True,selected
tracy-arm-2025,accepted,,accepted,,True,selected
tsar-2000,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
yigong-2000,unresolved,geometry_ambiguous,accepted,,False,coordinate=geometry_ambiguous;time=accepted
yulong-2004,unresolved,geometry_ambiguous,unresolved,time_basis_unknown,False,coordinate=geometry_ambiguous;time=time_basis_unknown
