candidate_id,onset_role,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
dickson-2023,source_failure,4,-1,0
dickson-2023,source_failure,4,0,0
dickson-2023,source_failure,4,1,0
dickson-2023,source_failure,4,2,0
dickson-2023,source_failure,6.5,-1,0
dickson-2023,source_failure,6.5,0,0
dickson-2023,source_failure,6.5,1,0
dickson-2023,source_failure,6.5,2,0
dickson-2023,source_failure,9,-1,10
dickson-2023,source_failure,9,0,0
dickson-2023,source_failure,9,1,0
dickson-2023,source_failure,9,2,0
karrat-2017,source_failure,4,-1,168
karrat-2017,source_failure,4,0,94
karrat-2017,source_failure,4,1,0
karrat-2017,source_failure,4,2,0
karrat-2017,source_failure,6.5,-1,168
karrat-2017,source_failure,6.5,0,94
karrat-2017,source_failure,6.5,1,0
karrat-2017,source_failure,6.5,2,0
karrat-2017,source_failure,9,-1,168
karrat-2017,source_failure,9,0,94
karrat-2017,source_failure,9,1,0
karrat-2017,source_failure,9,2,0
denali-black-rapids-e-2002,trigger_proxy,4,-1,112
denali-black-rapids-e-2002,trigger_proxy,4,0,16
denali-black-rapids-e-2002,trigger_proxy,4,1,0
denali-black-rapids-e-2002,trigger_proxy,4,2,0
denali-black-rapids-e-2002,trigger_proxy,6.5,-1,126
denali-black-rapids-e-2002,trigger_proxy,6.5,0,16
denali-black-rapids-e-2002,trigger_proxy,6.5,1,0
denali-black-rapids-e-2002,trigger_proxy,6.5,2,0
denali-black-rapids-e-2002,trigger_proxy,9,-1,147
denali-black-rapids-e-2002,trigger_proxy,9,0,16
denali-black-rapids-e-2002,trigger_proxy,9,1,0
denali-black-rapids-e-2002,trigger_proxy,9,2,0
denali-black-rapids-m-2002,trigger_proxy,4,-1,112
denali-black-rapids-m-2002,trigger_proxy,4,0,16
denali-black-rapids-m-2002,trigger_proxy,4,1,0
denali-black-rapids-m-2002,trigger_proxy,4,2,0
denali-black-rapids-m-2002,trigger_proxy,6.5,-1,126
denali-black-rapids-m-2002,trigger_proxy,6.5,0,16
denali-black-rapids-m-2002,trigger_proxy,6.5,1,0
denali-black-rapids-m-2002,trigger_proxy,6.5,2,0
denali-black-rapids-m-2002,trigger_proxy,9,-1,147
denali-black-rapids-m-2002,trigger_proxy,9,0,16
denali-black-rapids-m-2002,trigger_proxy,9,1,0
denali-black-rapids-m-2002,trigger_proxy,9,2,0
denali-black-rapids-w-2002,trigger_proxy,4,-1,116
denali-black-rapids-w-2002,trigger_proxy,4,0,15
denali-black-rapids-w-2002,trigger_proxy,4,1,0
denali-black-rapids-w-2002,trigger_proxy,4,2,0
denali-black-rapids-w-2002,trigger_proxy,6.5,-1,126
denali-black-rapids-w-2002,trigger_proxy,6.5,0,15
denali-black-rapids-w-2002,trigger_proxy,6.5,1,0
denali-black-rapids-w-2002,trigger_proxy,6.5,2,0
denali-black-rapids-w-2002,trigger_proxy,9,-1,146
denali-black-rapids-w-2002,trigger_proxy,9,0,15
denali-black-rapids-w-2002,trigger_proxy,9,1,0
denali-black-rapids-w-2002,trigger_proxy,9,2,0
denali-mcginnis-n-2002,trigger_proxy,4,-1,93
denali-mcginnis-n-2002,trigger_proxy,4,0,12
denali-mcginnis-n-2002,trigger_proxy,4,1,0
denali-mcginnis-n-2002,trigger_proxy,4,2,0
denali-mcginnis-n-2002,trigger_proxy,6.5,-1,121
denali-mcginnis-n-2002,trigger_proxy,6.5,0,12
denali-mcginnis-n-2002,trigger_proxy,6.5,1,0
denali-mcginnis-n-2002,trigger_proxy,6.5,2,0
denali-mcginnis-n-2002,trigger_proxy,9,-1,133
denali-mcginnis-n-2002,trigger_proxy,9,0,12
denali-mcginnis-n-2002,trigger_proxy,9,1,0
denali-mcginnis-n-2002,trigger_proxy,9,2,0
denali-mcginnis-s-2002,trigger_proxy,4,-1,93
denali-mcginnis-s-2002,trigger_proxy,4,0,12
