candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,year,window,hours,mean_t2m_k
dickson-2023,72.75,333,True,onset,1979,2d,48,253.48942565917969
dickson-2023,72.75,333,True,onset,1979,7d,168,256.31103515625
dickson-2023,72.75,333,True,onset,1979,30d,720,261.36798095703125
dickson-2023,72.75,333,True,onset,1980,2d,48,251.53114318847656
dickson-2023,72.75,333,True,onset,1980,7d,168,255.78414916992188
dickson-2023,72.75,333,True,onset,1980,30d,720,262.2200927734375
dickson-2023,72.75,333,True,onset,1981,2d,48,261.27590942382812
dickson-2023,72.75,333,True,onset,1981,7d,168,261.31301879882812
dickson-2023,72.75,333,True,onset,1981,30d,720,261.8875732421875
dickson-2023,72.75,333,True,onset,1982,2d,48,254.37773132324219
dickson-2023,72.75,333,True,onset,1982,7d,168,254.85037231445312
dickson-2023,72.75,333,True,onset,1982,30d,720,260.01174926757812
dickson-2023,72.75,333,True,onset,1983,2d,48,264.40386962890625
dickson-2023,72.75,333,True,onset,1983,7d,168,262.99298095703125
dickson-2023,72.75,333,True,onset,1983,30d,720,263.25665283203125
dickson-2023,72.75,333,True,onset,1984,2d,48,262.14193725585938
dickson-2023,72.75,333,True,onset,1984,7d,168,258.81954956054688
dickson-2023,72.75,333,True,onset,1984,30d,720,264.1646728515625
dickson-2023,72.75,333,True,onset,1985,2d,48,256.12445068359375
dickson-2023,72.75,333,True,onset,1985,7d,168,256.03939819335938
dickson-2023,72.75,333,True,onset,1985,30d,720,261.2364501953125
dickson-2023,72.75,333,True,onset,1986,2d,48,260.24295043945312
dickson-2023,72.75,333,True,onset,1986,7d,168,261.9156494140625
dickson-2023,72.75,333,True,onset,1986,30d,720,262.87518310546875
dickson-2023,72.75,333,True,onset,1987,2d,48,255.74873352050781
dickson-2023,72.75,333,True,onset,1987,7d,168,259.27700805664062
dickson-2023,72.75,333,True,onset,1987,30d,720,261.47738647460938
dickson-2023,72.75,333,True,onset,1988,2d,48,257.20321655273438
dickson-2023,72.75,333,True,onset,1988,7d,168,258.65069580078125
dickson-2023,72.75,333,True,onset,1988,30d,720,261.23757934570312
dickson-2023,72.75,333,True,onset,1989,2d,48,251.932861328125
dickson-2023,72.75,333,True,onset,1989,7d,168,254.2425537109375
dickson-2023,72.75,333,True,onset,1989,30d,720,259.79473876953125
dickson-2023,72.75,333,True,onset,1990,2d,48,254.22080993652344
dickson-2023,72.75,333,True,onset,1990,7d,168,257.52072143554688
dickson-2023,72.75,333,True,onset,1990,30d,720,263.7001953125
dickson-2023,72.75,333,True,onset,1991,2d,48,254.99794006347656
dickson-2023,72.75,333,True,onset,1991,7d,168,258.38308715820312
dickson-2023,72.75,333,True,onset,1991,30d,720,261.75909423828125
dickson-2023,72.75,333,True,onset,1992,2d,48,258.9986572265625
dickson-2023,72.75,333,True,onset,1992,7d,168,260.40115356445312
dickson-2023,72.75,333,True,onset,1992,30d,720,260.95068359375
dickson-2023,72.75,333,True,onset,1993,2d,48,262.39962768554688
dickson-2023,72.75,333,True,onset,1993,7d,168,262.60015869140625
dickson-2023,72.75,333,True,onset,1993,30d,720,263.86285400390625
dickson-2023,72.75,333,True,onset,1994,2d,48,260.07241821289062
dickson-2023,72.75,333,True,onset,1994,7d,168,260.04824829101562
dickson-2023,72.75,333,True,onset,1994,30d,720,262.96478271484375
dickson-2023,72.75,333,True,onset,1995,2d,48,263.13778686523438
dickson-2023,72.75,333,True,onset,1995,7d,168,262.34625244140625
dickson-2023,72.75,333,True,onset,1995,30d,720,263.26870727539062
dickson-2023,72.75,333,True,onset,1996,2d,48,258.047607421875
dickson-2023,72.75,333,True,onset,1996,7d,168,260.10147094726562
dickson-2023,72.75,333,True,onset,1996,30d,720,261.7669677734375
dickson-2023,72.75,333,True,onset,1997,2d,48,254.15765380859375
dickson-2023,72.75,333,True,onset,1997,7d,168,258.39654541015625
dickson-2023,72.75,333,True,onset,1997,30d,720,262.27737426757812
dickson-2023,72.75,333,True,onset,1998,2d,48,257.62716674804688
dickson-2023,72.75,333,True,onset,1998,7d,168,256.67279052734375
dickson-2023,72.75,333,True,onset,1998,30d,720,263.14248657226562
dickson-2023,72.75,333,True,onset,1999,2d,48,253.83845520019531
dickson-2023,72.75,333,True,onset,1999,7d,168,256.191650390625
dickson-2023,72.75,333,True,onset,1999,30d,720,262.10406494140625
dickson-2023,72.75,333,True,onset,2000,2d,48,256.34210205078125
dickson-2023,72.75,333,True,onset,2000,7d,168,257.79110717773438
dickson-2023,72.75,333,True,onset,2000,30d,720,263.19308471679688
dickson-2023,72.75,333,True,onset,2001,2d,48,258.49063110351562
dickson-2023,72.75,333,True,onset,2001,7d,168,261.57492065429688
dickson-2023,72.75,333,True,onset,2001,30d,720,263.84283447265625
dickson-2023,72.75,333,True,onset,2002,2d,48,267.93862915039062
dickson-2023,72.75,333,True,onset,2002,7d,168,267.79409790039062
dickson-2023,72.75,333,True,onset,2002,30d,720,263.24252319335938
dickson-2023,72.75,333,True,onset,2003,2d,48,261.66876220703125
dickson-2023,72.75,333,True,onset,2003,7d,168,262.30593872070312
dickson-2023,72.75,333,True,onset,2003,30d,720,264.94598388671875
dickson-2023,72.75,333,True,onset,2004,2d,48,255.50642395019531
dickson-2023,72.75,333,True,onset,2004,7d,168,258.67251586914062
dickson-2023,72.75,333,True,onset,2004,30d,720,264.22662353515625
dickson-2023,72.75,333,True,onset,2005,2d,48,256.83370971679688
dickson-2023,72.75,333,True,onset,2005,7d,168,257.006591796875
dickson-2023,72.75,333,True,onset,2005,30d,720,260.46456909179688
dickson-2023,72.75,333,True,onset,2006,2d,48,264.0321044921875
dickson-2023,72.75,333,True,onset,2006,7d,168,260.85440063476562
dickson-2023,72.75,333,True,onset,2006,30d,720,263.52130126953125
dickson-2023,72.75,333,True,onset,2007,2d,48,254.40498352050781
dickson-2023,72.75,333,True,onset,2007,7d,168,257.17880249023438
dickson-2023,72.75,333,True,onset,2007,30d,720,261.15164184570312
dickson-2023,72.75,333,True,onset,2008,2d,48,262.62069702148438
