region,region_name,stratum,resolution_m,slope_deg,contact_m,pzi_min,edge_scope,object_count,area_m2,eligible_d10_count,eligible_d30_count,eligible_d100_count
01,Alaska,glacier,0,,,,all,140,467217455.34589124,123,137,139
01,Alaska,glacier,0,,,,contained,134,447385691.43657225,120,132,134
01,Alaska,glacier_contact,30,25,0,,all,8255,17175600.0,0,0,59
01,Alaska,glacier_contact,30,25,0,,contained,8247,17163900.0,0,0,59
01,Alaska,glacier_contact,30,25,100,,all,1635,65222100.0,172,344,599
01,Alaska,glacier_contact,30,25,100,,contained,1627,64763100.0,171,341,593
01,Alaska,glacier_contact,30,25,300,,all,1571,125523000.0,172,278,478
01,Alaska,glacier_contact,30,25,300,,contained,1559,119204100.0,168,271,471
01,Alaska,glacier_contact,30,30,0,,all,6459,13043700.0,0,0,39
01,Alaska,glacier_contact,30,30,0,,contained,6455,13037400.0,0,0,39
01,Alaska,glacier_contact,30,30,100,,all,1766,50603400.0,131,331,617
01,Alaska,glacier_contact,30,30,100,,contained,1761,50220000.0,130,328,612
01,Alaska,glacier_contact,30,30,300,,all,1747,96198300.0,185,336,578
01,Alaska,glacier_contact,30,30,300,,contained,1741,93328200.0,181,330,572
01,Alaska,glacier_contact,30,35,0,,all,4642,9025200.0,0,0,28
01,Alaska,glacier_contact,30,35,0,,contained,4638,9020700.0,0,0,28
01,Alaska,glacier_contact,30,35,100,,all,1707,35341200.0,83,276,566
01,Alaska,glacier_contact,30,35,100,,contained,1703,35007300.0,82,273,562
01,Alaska,glacier_contact,30,35,300,,all,1889,64827900.0,141,347,614
01,Alaska,glacier_contact,30,35,300,,contained,1883,62894700.0,138,343,609
01,Alaska,glacier_contact,90,25,0,,all,2257,37260000.0,5,161,1072
01,Alaska,glacier_contact,90,25,0,,contained,2251,37203300.0,5,161,1071
01,Alaska,glacier_contact,90,25,100,,all,1095,66071700.0,174,369,634
01,Alaska,glacier_contact,90,25,100,,contained,1088,65626200.0,173,365,627
01,Alaska,glacier_contact,90,25,300,,all,921,119402100.0,206,344,538
01,Alaska,glacier_contact,90,25,300,,contained,913,113975100.0,203,336,530
01,Alaska,glacier_contact,90,30,0,,all,1639,25806600.0,3,96,742
01,Alaska,glacier_contact,90,30,0,,contained,1634,25766100.0,3,96,742
01,Alaska,glacier_contact,90,30,100,,all,1022,46534500.0,128,301,554
01,Alaska,glacier_contact,90,30,100,,contained,1017,46226700.0,127,298,550
01,Alaska,glacier_contact,90,30,300,,all,950,84264300.0,181,329,560
01,Alaska,glacier_contact,90,30,300,,contained,944,82069200.0,178,325,556
01,Alaska,glacier_contact,90,35,0,,all,1057,15657300.0,0,53,435
