cell_key,south,west,cell_area_km2,rgi_union_intersection_area_km2,contributing_region_count,dominant_region,stratum_population_cells,stratum_sample_cells,inclusion_probability
rgi7.0|global|south=-060|west=-0028,-60,-28,6309.609195783570,32.588699217627,1,19,15,4,0.266666666667
rgi7.0|global|south=-060|west=-0027,-60,-27,6309.609195783570,47.023443634585,1,19,15,4,0.266666666667
rgi7.0|global|south=-059|west=-0027,-59,-27,6494.252394051514,115.581408874383,1,19,15,4,0.266666666667
rgi7.0|global|south=-058|west=-0027,-58,-27,6676.816849631226,24.197451088006,1,19,15,4,0.266666666667
rgi7.0|global|south=-057|west=-0028,-57,-28,6857.247564419434,23.366599487007,1,19,15,4,0.266666666667
rgi7.0|global|south=-056|west=-0071,-56,-71,7035.490465217529,8.526999857226,1,17,91,4,0.043956043956
rgi7.0|global|south=-056|west=-0070,-56,-70,7035.490465217529,309.849577766203,1,17,91,4,0.043956043956
rgi7.0|global|south=-056|west=-0069,-56,-69,7035.490465217529,52.529410667699,1,17,91,4,0.043956043956
rgi7.0|global|south=-056|west=-0068,-56,-68,7035.490465217529,0.068968798921,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0073,-55,-73,7211.492417458862,0.513347957630,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0072,-55,-72,7211.492417458862,135.966724591088,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0071,-55,-71,7211.492417458862,872.120004086472,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0070,-55,-70,7211.492417458862,1578.323587148200,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0069,-55,-69,7211.492417458862,108.066764546072,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0068,-55,-68,7211.492417458862,1.858371086658,1,17,91,4,0.043956043956
rgi7.0|global|south=-055|west=-0038,-55,-38,7211.492417458862,551.299835607542,1,19,15,4,0.266666666667
rgi7.0|global|south=-055|west=-0037,-55,-37,7211.492417458862,1556.800624038076,1,19,15,4,0.266666666667
rgi7.0|global|south=-055|west=-0036,-55,-36,7211.492417458862,78.920198986551,1,19,15,4,0.266666666667
rgi7.0|global|south=-055|west=+0003,-55,3,7211.492417458862,43.455737369188,1,19,15,4,0.266666666667
rgi7.0|global|south=-054|west=-0075,-54,-75,7385.201237890991,11.710158712904,1,17,91,4,0.043956043956
rgi7.0|global|south=-054|west=-0074,-54,-74,7385.201237890991,34.586934960567,1,17,91,4,0.043956043956
rgi7.0|global|south=-054|west=-0073,-54,-73,7385.201237890991,349.355122243785,1,17,91,4,0.043956043956
rgi7.0|global|south=-054|west=-0072,-54,-72,7385.201237890991,7.659540266162,1,17,91,4,0.043956043956
rgi7.0|global|south=-054|west=-0038,-54,-38,7385.201237890991,1.595276176347,1,19,15,4,0.266666666667
rgi7.0|global|south=-054|west=+0073,-54,73,7385.201237890991,250.975621468144,1,19,15,4,0.266666666667
rgi7.0|global|south=-053|west=-0075,-53,-75,7556.565706233398,2.088361904546,1,17,91,4,0.043956043956
rgi7.0|global|south=-053|west=-0074,-53,-74,7556.565706233398,282.878974407467,1,17,91,4,0.043956043956
rgi7.0|global|south=-053|west=-0073,-53,-73,7556.565706233398,127.995666028882,1,17,91,4,0.043956043956
rgi7.0|global|south=-053|west=-0072,-53,-72,7556.565706233398,0.019463048354,1,17,91,4,0.043956043956
rgi7.0|global|south=-053|west=+0073,-53,73,7556.565706233398,3.573036059384,1,19,15,4,0.266666666667
rgi7.0|global|south=-052|west=-0076,-52,-76,7725.535575815125,0.262040909545,1,17,91,4,0.043956043956
rgi7.0|global|south=-052|west=-0075,-52,-75,7725.535575815125,3.645046995147,1,17,91,4,0.043956043956
rgi7.0|global|south=-052|west=-0074,-52,-74,7725.535575815125,981.892041597883,1,17,91,4,0.043956043956
rgi7.0|global|south=-052|west=-0073,-52,-73,7725.535575815125,19.863431600272,1,17,91,4,0.043956043956
rgi7.0|global|south=-051|west=-0075,-51,-75,7892.061583206543,29.253057090381,1,17,91,4,0.043956043956
rgi7.0|global|south=-051|west=-0074,-51,-74,7892.061583206543,3662.111691340140,1,17,91,4,0.043956043956
rgi7.0|global|south=-051|west=-0073,-51,-73,7892.061583206543,20.191345126424,1,17,91,4,0.043956043956
rgi7.0|global|south=-050|west=-0076,-50,-76,8056.095456858642,0.751701645989,1,17,91,4,0.043956043956
rgi7.0|global|south=-050|west=-0075,-50,-75,8056.095456858642,91.276006496442,1,17,91,4,0.043956043956
rgi7.0|global|south=-050|west=-0074,-50,-74,8056.095456858642,5031.122571058873,1,17,91,4,0.043956043956
rgi7.0|global|south=-050|west=-0073,-50,-73,8056.095456858642,83.544922156902,1,17,91,4,0.043956043956
rgi7.0|global|south=-050|west=+0068,-50,68,8056.095456858642,171.168777910643,1,19,15,4,0.266666666667
rgi7.0|global|south=-050|west=+0069,-50,69,8056.095456858642,370.194599965192,1,19,15,4,0.266666666667
rgi7.0|global|south=-049|west=-0075,-49,-75,8217.589924770447,49.390916018681,1,17,91,4,0.043956043956
rgi7.0|global|south=-049|west=-0074,-49,-74,8217.589924770447,3527.651162743460,1,17,91,4,0.043956043956
