region,population_cells,sample_cells,inclusion_probability
01,145,5,0.034482758621
02,134,5,0.037313432836
03,182,7,0.038461538462
04,85,4,0.047058823529
05,336,12,0.035714285714
06,21,4,0.190476190476
07,60,4,0.066666666667
08,45,4,0.088888888889
09,105,4,0.038095238095
10,161,6,0.037267080745
11,23,4,0.173913043478
12,29,4,0.137931034483
13,235,9,0.038297872340
14,41,4,0.097560975610
15,52,4,0.076923076923
16,54,4,0.074074074074
17,91,4,0.043956043956
18,12,4,0.333333333333
19,15,4,0.266666666667
20,0,0,0.000000000000
