cell_key,south,west,cell_area_km2,rgi_union_intersection_area_km2,contributing_region_count,dominant_region,stratum_population_cells,stratum_sample_cells,inclusion_probability,random_digest,stratum_rank,selected,same_stratum_pair_probability,cross_stratum_pair_rule
rgi7.0|global|south=+054|west=-0164,54,-164,7211.492417458862,117.099541871864,1,01,145,5,0.034482758621,0a218bd706e1e1ea73e63cf13c17d1c4050f7dd0bebda4b4e6aba0acc00c3513,1,yes,0.000957854406,product_of_first_order_probabilities
rgi7.0|global|south=+058|west=-0138,58,-138,6494.252394051514,1458.119691158637,1,01,145,5,0.034482758621,0d07bc3fad2604a89a183db531d9695acd41203924b0419b6dbcfd0827e194b1,2,yes,0.000957854406,product_of_first_order_probabilities
rgi7.0|global|south=+060|west=-0154,60,-154,6122.943163071289,1321.584658986143,1,01,145,5,0.034482758621,0f25b951822ede0b7ace3d05d55a2ceeddc972ee786922af92cc328f40a814c6,3,yes,0.000957854406,product_of_first_order_probabilities
rgi7.0|global|south=+057|west=-0153,57,-153,6676.816849631226,2.071729442959,1,01,145,5,0.034482758621,0f65e1a35234811670576106d89ca6b33be8a590c73a039897d74ef44cabc78f,4,yes,0.000957854406,product_of_first_order_probabilities
rgi7.0|global|south=+056|west=-0160,56,-160,6857.247564419434,313.754954984661,1,01,145,5,0.034482758621,1140a7a77d43bbffae5a71b8cd4806f18d0caa29563d5ca328a4371e2a705fb1,5,yes,0.000957854406,product_of_first_order_probabilities
rgi7.0|global|south=+052|west=-0129,52,-129,7556.565706233398,1.819013050344,1,02,134,5,0.037313432836,03c5b997c0708d7cccbf24ab7a84fa0d5ca88c3a53c253d2ebaf1b5ca7cffeb5,1,yes,0.001122208506,product_of_first_order_probabilities
rgi7.0|global|south=+058|west=-0125,58,-125,6494.252394051514,79.986319771310,1,02,134,5,0.037313432836,03e825a3b6a9d621badf874b2cd00b43a95fcc11de0ef134c7c4d2b88a3abb9e,2,yes,0.001122208506,product_of_first_order_probabilities
rgi7.0|global|south=+047|west=-0114,47,-114,8376.498721203187,3.437118035090,1,02,134,5,0.037313432836,054f58ae2dc161bc538fe77d618152b82c7078279dc82eb8796af596fb516148,3,yes,0.001122208506,product_of_first_order_probabilities
rgi7.0|global|south=+051|west=-0128,51,-128,7725.535575815125,19.413380534299,1,02,134,5,0.037313432836,05b5bf1bfa3a555e62e5e64d8dee6d10d1395a601fa0fdaeb21726bcd4b8ad50,4,yes,0.001122208506,product_of_first_order_probabilities
rgi7.0|global|south=+058|west=-0126,58,-126,6494.252394051514,129.257953192691,1,02,134,5,0.037313432836,0cd7feb5e900cbd156cf6c16e9a70d38f96939f8d68326a10a82757ba03fd302,5,yes,0.001122208506,product_of_first_order_probabilities
rgi7.0|global|south=+081|west=-0084,81,-84,1843.344315224121,1201.749070611185,1,03,182,7,0.038461538462,002de297a7925429b6fc444afa937b53a17dac7788777aa462fca0a53759e790,1,yes,0.001274968126,product_of_first_order_probabilities
