object_id,latitude,longitude,url,retrieval_mode,availability,request_start_utc,request_complete_utc,curl_exit,http_status,payload_path,payload_bytes,payload_sha256,response_header_path,response_status_line,response_date,etag,last_modified,content_length,content_range,header_bytes,header_sha256
Copernicus_DSM_COG_10_S61_00_W028_00_DEM,-61,-28,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S61_00_W028_00_DEM/Copernicus_DSM_COG_10_S61_00_W028_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S61_00_W028_00_DEM.body,356,f26981d66ab2df66017e4e497a9cd9cd18b8588074b1826182e20e5d04cf8c50,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S61_00_W028_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:57 GMT",,,,,266,e75f3e59160b2fe3775605b97af669a5e69807c997050151de426dc18280d516
Copernicus_DSM_COG_10_S61_00_W027_00_DEM,-61,-27,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S61_00_W027_00_DEM/Copernicus_DSM_COG_10_S61_00_W027_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S61_00_W027_00_DEM.body,356,1a160069c12130598929f462e0168d2cc69e25cf54bb8159a3302ade657a93d9,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S61_00_W027_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:57 GMT",,,,,266,98dc1bebd0f46742d07202536bb43ab3f69f3f366c0c479120b51e3d44ceaec5
Copernicus_DSM_COG_10_S61_00_W026_00_DEM,-61,-26,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S61_00_W026_00_DEM/Copernicus_DSM_COG_10_S61_00_W026_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S61_00_W026_00_DEM.body,356,7873ad94d8ad9b59288cdcb342d2e31248d0b553a9d0686ef85da5440c171c43,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S61_00_W026_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,3a61ea371881c648c468a2afaf0fd31ce52c2e46e8e25c9706303a07211146ef
Copernicus_DSM_COG_10_S60_00_W028_00_DEM,-60,-28,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S60_00_W028_00_DEM/Copernicus_DSM_COG_10_S60_00_W028_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S60_00_W028_00_DEM.tif,305495,a232586ae96f00661ea89d1ce110aec9ac9a027c9c447d6a5aeed1f66b50ef30,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S60_00_W028_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""66fe888f2783d2b99924519901063d49""","Mon, 09 May 2022 15:06:09 GMT",305495,,384,2c9dd46325fb577b1d034ea70ef49084831c8d73944069c943864e31b0b27ae4
Copernicus_DSM_COG_10_S60_00_W027_00_DEM,-60,-27,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S60_00_W027_00_DEM/Copernicus_DSM_COG_10_S60_00_W027_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S60_00_W027_00_DEM.tif,336810,727e4afa4029cf093de32e352787fe99a15fefb77beed429ba795dcf65ef0a2e,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S60_00_W027_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""6cd20d1d557f7f9c05c4fbfc06c22226""","Mon, 09 May 2022 15:06:08 GMT",336810,,404,1d7b2f93b8c0288c1ccde8cad05111aa069c255adf9b9bbed2f234e937fd2f64
Copernicus_DSM_COG_10_S60_00_W026_00_DEM,-60,-26,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S60_00_W026_00_DEM/Copernicus_DSM_COG_10_S60_00_W026_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S60_00_W026_00_DEM.body,356,2ca302e8a43fe771b60a2f28ca08de7d7de53b0e60bdab79d19f65f277a03261,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S60_00_W026_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,94bf90df8b9856181bc9c0f1bd044e36b8dc377686b5d076699b79075cd3543a
Copernicus_DSM_COG_10_S59_00_W028_00_DEM,-59,-28,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S59_00_W028_00_DEM/Copernicus_DSM_COG_10_S59_00_W028_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S59_00_W028_00_DEM.body,376,b1be06f92b93918e1327b9b30614ccb1b8364e22235998564b4bccc4408ff3d3,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S59_00_W028_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,286,589e9eb1b6916d681bd4465804fcf19401f816f35c438ea1cbe045a6dd5705c9
Copernicus_DSM_COG_10_S59_00_W027_00_DEM,-59,-27,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S59_00_W027_00_DEM/Copernicus_DSM_COG_10_S59_00_W027_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S59_00_W027_00_DEM.tif,676449,9b45a70ea269b83daef0894046f89c58c0cee48a872cdcc5a3ff5f32a5693656,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S59_00_W027_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""f139ce663c7ad4323ac413c51b57779a""","Mon, 09 May 2022 15:06:08 GMT",676449,,404,fe1f2de6586902ea1c2d672465340c93437a043571b3ebe4551967e52e685db1
Copernicus_DSM_COG_10_S59_00_W026_00_DEM,-59,-26,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S59_00_W026_00_DEM/Copernicus_DSM_COG_10_S59_00_W026_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S59_00_W026_00_DEM.body,356,f8fdc53488e0da855e6944a9ec4a645ed8db7384b73352afa4ec65dd675c2fa5,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S59_00_W026_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,9c43d62668dad3ca6d9de02d65ee3f79190769fd31f74bdbe03db469fc0c0ae9
Copernicus_DSM_COG_10_S56_00_W038_00_DEM,-56,-38,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S56_00_W038_00_DEM/Copernicus_DSM_COG_10_S56_00_W038_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S56_00_W038_00_DEM.body,376,eab27a360b76ca5bc286f81f3f67d0dcfedbe072675cfe0a680ee40820bc8562,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S56_00_W038_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,286,3ae1899b94830ef0731a17e300db3faeebb548ba1e5b7f518e6ce88cd7e04a95
Copernicus_DSM_COG_10_S56_00_W037_00_DEM,-56,-37,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S56_00_W037_00_DEM/Copernicus_DSM_COG_10_S56_00_W037_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S56_00_W037_00_DEM.body,356,4f892afec64026332a42f76e9ab8aac93d351d46722b95011dc761f997e8c2b1,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S56_00_W037_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,5a5f129cdd78189aa7fd3d417356c4561d5aefef930be7b21f9aba6dfcf07ee3
Copernicus_DSM_COG_10_S56_00_W036_00_DEM,-56,-36,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S56_00_W036_00_DEM/Copernicus_DSM_COG_10_S56_00_W036_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S56_00_W036_00_DEM.body,356,926d399ad1bb09d1bc02d4068a84ec558063830f449a36db3ed94bbc779193ac,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S56_00_W036_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,89d559be86774dc65a46b744685a94e72b2309447a9648c70951ce150c0d3091
Copernicus_DSM_COG_10_S55_00_W039_00_DEM,-55,-39,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S55_00_W039_00_DEM/Copernicus_DSM_COG_10_S55_00_W039_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:57Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S55_00_W039_00_DEM.tif,178130,292f661438578e26fdda5bd1d3ea49b3d9d2c6c690d526216bf3e5e539bccdf9,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S55_00_W039_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""772a81e6f798145258eb6079d4db31e8""","Mon, 09 May 2022 15:06:04 GMT",178130,,404,5b39d4863c71d1d62d5ac5c4d40d9827751f6968b24b486bceb882454abb9c05
Copernicus_DSM_COG_10_S55_00_W038_00_DEM,-55,-38,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S55_00_W038_00_DEM/Copernicus_DSM_COG_10_S55_00_W038_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:58Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S55_00_W038_00_DEM.tif,4509674,d08680459d1e550a09f9ec91ffd5959a812b57c97e7ad1aa663c3ddddce80509,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S55_00_W038_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""45d1fbf446677fa17f0827180d1e4735""","Mon, 09 May 2022 15:06:04 GMT",4509674,,405,e7014b7069d7a2963f50e10ce40ef04e940bf2eb724c170afd80a0b9a43637c6
Copernicus_DSM_COG_10_S55_00_W037_00_DEM,-55,-37,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S55_00_W037_00_DEM/Copernicus_DSM_COG_10_S55_00_W037_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:59Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S55_00_W037_00_DEM.tif,10549437,8f26bcc83250f4a5843835ca5623c2441ff7417b930bd30e462c6d20bb6da307,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S55_00_W037_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""8844bd2b0410f3a401fcc9648f872099""","Mon, 09 May 2022 15:06:04 GMT",10549437,,386,43088addb4348a9bea2265c430e26c4253d76ef64f6667ba694d8e27905e4e33
Copernicus_DSM_COG_10_S55_00_W036_00_DEM,-55,-36,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S55_00_W036_00_DEM/Copernicus_DSM_COG_10_S55_00_W036_00_DEM.tif,http_get,available,2026-08-31T19:37:56Z,2026-08-31T19:37:58Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S55_00_W036_00_DEM.tif,1045908,4a68cbda473d063b28d306e7235a8483f75b37a34a1caf1ccc8ad24e00f4b32f,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S55_00_W036_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""74ef1ded365f4cb512b46fa0e55feea6""","Mon, 09 May 2022 15:06:04 GMT",1045908,,405,67c4e86f2e64b24c3ce4cc8f1e28f77ca62607d9fcf020c84b424ce766f3746c
Copernicus_DSM_COG_10_S54_00_W039_00_DEM,-54,-39,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S54_00_W039_00_DEM/Copernicus_DSM_COG_10_S54_00_W039_00_DEM.tif,http_get,available,2026-08-31T19:37:57Z,2026-08-31T19:37:58Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S54_00_W039_00_DEM.tif,79712,b801349b5e995ccedbf5fa027a20356335715a0173e0be8a29d814ffd6882802,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S54_00_W039_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""6c4a90b081aaab71bf51671909f7fbc1""","Mon, 09 May 2022 15:06:01 GMT",79712,,383,2243db0968735ae6d74d57de079929d45456cca0631eb3bbcec666d714bd63f0
Copernicus_DSM_COG_10_S54_00_W038_00_DEM,-54,-38,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S54_00_W038_00_DEM/Copernicus_DSM_COG_10_S54_00_W038_00_DEM.tif,http_get,available,2026-08-31T19:37:57Z,2026-08-31T19:37:58Z,0,200,data/geographic_total/source_raw/dem/Copernicus_DSM_COG_10_S54_00_W038_00_DEM.tif,153622,bb4519565a09273322b0dbcb1ac290981082971637f6670022dc74a482e14563,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S54_00_W038_00_DEM.headers,HTTP/1.1 200 OK,"Mon, 31 Aug 2026 19:37:58 GMT","""36c99e673d7274b55dfaeb0da36bb710""","Mon, 09 May 2022 15:06:01 GMT",153622,,404,ea58a5a2daf10a6a3710a41281daa55d1a4924160bb2b5e6d97df58d22356629
Copernicus_DSM_COG_10_S54_00_W037_00_DEM,-54,-37,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S54_00_W037_00_DEM/Copernicus_DSM_COG_10_S54_00_W037_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:57Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S54_00_W037_00_DEM.body,356,ec10f2ff7d02f49555e35926654fcba9bc72be653c293314e3b40e622a6fb418,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S54_00_W037_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,b71efca4574e2f8df55e016b717759d5aa514475775986c83c41d81bcd434062
Copernicus_DSM_COG_10_S54_00_W036_00_DEM,-54,-36,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S54_00_W036_00_DEM/Copernicus_DSM_COG_10_S54_00_W036_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:57Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S54_00_W036_00_DEM.body,356,3d5caec2575d34bf779a06a3769aa5370970d6d6776ed45efff2f999adc78692,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S54_00_W036_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:57 GMT",,,,,266,c305108baa5a061e574c90900c56c8bdf5be91237c9591c224426fc4b8f458d2
Copernicus_DSM_COG_10_S53_00_W039_00_DEM,-53,-39,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S53_00_W039_00_DEM/Copernicus_DSM_COG_10_S53_00_W039_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:57Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S53_00_W039_00_DEM.body,356,377b6c27b10cf4e841ac212853a1583c927bd952b39c010db73eca5cbbcaaa55,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S53_00_W039_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,266,7453c31796985d1fea2041ea4e2a0d3e9d7f3c13aa6caa8bfa189cb98cd1b146
Copernicus_DSM_COG_10_S53_00_W038_00_DEM,-53,-38,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S53_00_W038_00_DEM/Copernicus_DSM_COG_10_S53_00_W038_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:57Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S53_00_W038_00_DEM.body,376,10f60ba50d12714baf94a50e0b83105eb59e262a6fd611ae4b274f04d8f1f6f8,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S53_00_W038_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:57 GMT",,,,,286,f188a844afbbb11b9b587be65df91adad9b37e733b224c86e382cb2ecf7f09d1
Copernicus_DSM_COG_10_S53_00_W037_00_DEM,-53,-37,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_S53_00_W037_00_DEM/Copernicus_DSM_COG_10_S53_00_W037_00_DEM.tif,http_get,unavailable,2026-08-31T19:37:57Z,2026-08-31T19:37:57Z,0,404,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S53_00_W037_00_DEM.body,376,0881f5ad9a065d9895f707b54ddd9516b69ab773642c9a6aa51cbd5e29949e58,data/geographic_total/source/dem/Copernicus_DSM_COG_10_S53_00_W037_00_DEM.headers,HTTP/1.1 404 Not Found,"Mon, 31 Aug 2026 19:37:56 GMT",,,,,286,a51abd4dde65e9c14a8f9fe3c5eee5d233d73abb7e902137e329fdd0b3561652
