object_id,south,row0,rows,byte_start,byte_end,url
pzi_rows_s-060,-60,17868,132,3087590400,3110399999,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-055,-55,17268,144,2983910400,3008793599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-054,-54,17148,144,2963174400,2988057599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-047,-47,16308,144,2818022400,2842905599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-045,-45,16068,144,2776550400,2801433599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-044,-44,15948,144,2755814400,2780697599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-043,-43,15828,144,2735078400,2759961599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-042,-42,15708,144,2714342400,2739225599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-040,-40,15468,144,2672870400,2697753599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-039,-39,15348,144,2652134400,2677017599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-037,-37,15108,144,2610662400,2635545599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-036,-36,14988,144,2589926400,2614809599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-016,-16,12588,144,2175206400,2200089599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s-014,-14,12348,144,2133734400,2158617599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+006,6,9948,144,1719014400,1743897599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+027,27,7428,144,1283558400,1308441599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+029,29,7188,144,1242086400,1266969599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+034,34,6588,144,1138406400,1163289599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+035,35,6468,144,1117670400,1142553599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+036,36,6348,144,1096934400,1121817599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+037,37,6228,144,1076198400,1101081599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+038,38,6108,144,1055462400,1080345599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+040,40,5868,144,1013990400,1038873599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+041,41,5748,144,993254400,1018137599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+042,42,5628,144,972518400,997401599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+043,43,5508,144,951782400,976665599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+046,46,5148,144,889574400,914457599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+047,47,5028,144,868838400,893721599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+051,51,4548,144,785894400,810777599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+052,52,4428,144,765158400,790041599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+054,54,4188,144,723686400,748569599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+056,56,3948,144,682214400,707097599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
pzi_rows_s+057,57,3828,144,661478400,686361599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt
