object_id,south,row0,rows,byte_start,byte_end,url,retrieval_mode,request_start_utc,request_complete_utc,curl_exit,http_status,requested_content_range,payload_path,payload_bytes,payload_sha256,response_header_path,response_status_line,response_date,etag,last_modified,content_length,content_range,header_bytes,header_sha256
pzi_rows_s-060,-60,17868,132,3087590400,3110399999,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:41Z,0,206,bytes 3087590400-3110399999/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-060.rows,22809600,93e7d5cd011f79c38904d62ae1f8191b931106124a5facdd13dbac6800ddfebf,data/geographic_total/source/pzi/pzi_rows_s-060.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",22809600,bytes 3087590400-3110399999/3110400000,406,c73cff543c2f20024082777073cb38019fb299e1399360bdf0d959a1b61c8db7
pzi_rows_s-055,-55,17268,144,2983910400,3008793599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:37Z,0,206,bytes 2983910400-3008793599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-055.rows,24883200,04d0d8458a13310081a8aee87af5bea848e5dca194c4c3f8ec4e4f9097793276,data/geographic_total/source/pzi/pzi_rows_s-055.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2983910400-3008793599/3110400000,406,79f1eaa038d1ab981e28a4942d9e274d1905e0a3dcd65fe0589f7f33eb8f3565
pzi_rows_s-054,-54,17148,144,2963174400,2988057599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:53Z,0,206,bytes 2963174400-2988057599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-054.rows,24883200,b97d5d6ee57e22a739e8fffc0b0a899d6d6e77ddd68b9a3c81467231e71df162,data/geographic_total/source/pzi/pzi_rows_s-054.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2963174400-2988057599/3110400000,406,c5efe61a7da076bb2215ae746e224122bedcdf668ca66260a31a0471f5e4bfb6
pzi_rows_s-047,-47,16308,144,2818022400,2842905599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:24Z,0,206,bytes 2818022400-2842905599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-047.rows,24883200,a31c636e185aa0b3888b1fc49103000315ce57d737d438881f3b672b1c7dca7f,data/geographic_total/source/pzi/pzi_rows_s-047.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2818022400-2842905599/3110400000,406,1713ff4e78b6d59a6bf922b7e95bacb2a444f0285d0e6f7df4f122b755466d5f
pzi_rows_s-045,-45,16068,144,2776550400,2801433599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:24Z,0,206,bytes 2776550400-2801433599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-045.rows,24883200,f3c3ba17c2c43f2c1c7d25d81eaebf82df1286bc6ff293aae4a0f76c09975a4f,data/geographic_total/source/pzi/pzi_rows_s-045.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2776550400-2801433599/3110400000,406,56cef3b0b061331db48a6ca086d47fbde42066a64b5d77bea38d79e5f56d2d29
pzi_rows_s-044,-44,15948,144,2755814400,2780697599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,retained_issue15_exact_reuse,,,not_applicable_reuse,206,bytes 2755814400-2780697599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-044.rows,24883200,046c895724ef15cb759c04d2509352c992992c6fadb121197870d2fb1715143f,data/geographic_total/source/pzi/pzi_rows_s-044.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 14:47:14 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2755814400-2780697599/3110400000,406,520f5a29657ba00174f902df90774c862aa53423a5decf8cba4d6032ad9d1fb5
pzi_rows_s-043,-43,15828,144,2735078400,2759961599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:24Z,0,206,bytes 2735078400-2759961599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-043.rows,24883200,52acb2826fb89af26671a1ab103c450655cbd323db1da0d0e4c1f77f2dd633bb,data/geographic_total/source/pzi/pzi_rows_s-043.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2735078400-2759961599/3110400000,406,793798673619e36f0ab780bc03aadd21fc7d004719da88c3a024436de012a790
pzi_rows_s-042,-42,15708,144,2714342400,2739225599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:39:03Z,0,206,bytes 2714342400-2739225599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-042.rows,24883200,0bd9d5cad76d2e0d25c97fcf963bad3a701efe3b6f3749ae504b1e2179b78651,data/geographic_total/source/pzi/pzi_rows_s-042.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:20 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2714342400-2739225599/3110400000,406,e28cb58bcb1974f699526677449213d7618973a654b2b712bcb3f7e1d0aa1db9
pzi_rows_s-040,-40,15468,144,2672870400,2697753599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:18Z,2026-08-31T19:38:26Z,0,206,bytes 2672870400-2697753599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-040.rows,24883200,b550562bc4861b4016b5013079c77ac6dc653e798b2dca2e42772c47ecd33f49,data/geographic_total/source/pzi/pzi_rows_s-040.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:21 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2672870400-2697753599/3110400000,406,beb115727c1d7a2a9b38babb42e571ba7b745664ba434bce3f29d7011962c444
pzi_rows_s-039,-39,15348,144,2652134400,2677017599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:24Z,2026-08-31T19:39:04Z,0,206,bytes 2652134400-2677017599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-039.rows,24883200,510531b6d92009ca2d0ec0efaac51bdfac0620777d7fccaf5af9e2809d72e409,data/geographic_total/source/pzi/pzi_rows_s-039.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:25 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2652134400-2677017599/3110400000,406,e8503e45d3fd4792344a9064e8a40816625e6cf206e1b21c9a3bc0ec4384298f
