cell_key,layer,rows,columns,affine,crs,stored_crs_equal,source_count,missing_object_ids,value_sha256,replay_value_sha256,replay_affine_equal,finite_mask_equal,replay_max_abs_difference
rgi7.0|global|south=+054|west=-0164,p00,3783,2256,"(30.0, 0.0, -33810.0, 0.0, -30.0, 56820.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",54.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-163.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,5,"[""Copernicus_DSM_COG_10_N53_00_W163_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W164_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W165_00_DEM"", ""Copernicus_DSM_COG_10_N55_00_W165_00_DEM""]",953f2484c3b017f50fb42d4ff5a0575bed191e87f61e96bf004fead7598fdadc,953f2484c3b017f50fb42d4ff5a0575bed191e87f61e96bf004fead7598fdadc,True,True,0.0
rgi7.0|global|south=+054|west=-0164,p10,3782,2253,"(30.0, 0.0, -33795.0, 0.0, -30.0, 56790.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",54.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-163.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,5,"[""Copernicus_DSM_COG_10_N53_00_W163_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W164_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W165_00_DEM"", ""Copernicus_DSM_COG_10_N55_00_W165_00_DEM""]",fbb9a8f01ff10cb61be11ff47db73c61365df640ce8d174f04a9c5898ef1b021,fbb9a8f01ff10cb61be11ff47db73c61365df640ce8d174f04a9c5898ef1b021,True,True,0.0
rgi7.0|global|south=+054|west=-0164,p01,3781,2254,"(30.0, 0.0, -33810.0, 0.0, -30.0, 56775.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",54.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-163.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,5,"[""Copernicus_DSM_COG_10_N53_00_W163_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W164_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W165_00_DEM"", ""Copernicus_DSM_COG_10_N55_00_W165_00_DEM""]",94ad2d97fc02eebda3c156bb13ad70efe92ae4703265e855eb66e567674b5395,94ad2d97fc02eebda3c156bb13ad70efe92ae4703265e855eb66e567674b5395,True,True,0.0
rgi7.0|global|south=+054|west=-0164,p11,3781,2253,"(30.0, 0.0, -33795.0, 0.0, -30.0, 56775.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",54.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-163.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,5,"[""Copernicus_DSM_COG_10_N53_00_W163_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W164_00_DEM"", ""Copernicus_DSM_COG_10_N53_00_W165_00_DEM"", ""Copernicus_DSM_COG_10_N55_00_W165_00_DEM""]",30918f46f52b4a8639b5059b12ef9f1394a466d6e24eeb2202f6cd9199a11587,30918f46f52b4a8639b5059b12ef9f1394a466d6e24eeb2202f6cd9199a11587,True,True,0.0
rgi7.0|global|south=+054|west=-0164,pzi,144,144,"(0.008333333333333333, 0.0, -164.1, 0.0, -0.008333333333333333, 55.1, 0.0, 0.0, 1.0)",EPSG:4326,True,1,[],0170f6a415f1daf4774cb7136131997d4f340c710d8d65260fb928c52874abc1,0170f6a415f1daf4774cb7136131997d4f340c710d8d65260fb928c52874abc1,True,True,0.0
rgi7.0|global|south=+058|west=-0138,p00,3786,2040,"(30.0, 0.0, -30570.0, 0.0, -30.0, 56880.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",58.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-137.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,7,"[""Copernicus_DSM_COG_10_N57_00_W138_00_DEM"", ""Copernicus_DSM_COG_10_N57_00_W139_00_DEM""]",419c163970ce151cd7d3b078a549b20e1c6592b8287d05e06462c06f5ea3158b,419c163970ce151cd7d3b078a549b20e1c6592b8287d05e06462c06f5ea3158b,True,True,0.0
rgi7.0|global|south=+058|west=-0138,p10,3784,2039,"(30.0, 0.0, -30585.0, 0.0, -30.0, 56820.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",58.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-137.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,7,"[""Copernicus_DSM_COG_10_N57_00_W138_00_DEM"", ""Copernicus_DSM_COG_10_N57_00_W139_00_DEM""]",216864b05ec46eb571bddad4a375fc8b99e031cba21d64eb682742d96b9266e8,216864b05ec46eb571bddad4a375fc8b99e031cba21d64eb682742d96b9266e8,True,True,0.0
rgi7.0|global|south=+058|west=-0138,p01,3784,2038,"(30.0, 0.0, -30570.0, 0.0, -30.0, 56805.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",58.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-137.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,7,"[""Copernicus_DSM_COG_10_N57_00_W138_00_DEM"", ""Copernicus_DSM_COG_10_N57_00_W139_00_DEM""]",a75ccbaa7bd9e0ca8a3796c534e100ee6b8ca664e2786910b021f7854e8eacdf,a75ccbaa7bd9e0ca8a3796c534e100ee6b8ca664e2786910b021f7854e8eacdf,True,True,0.0
rgi7.0|global|south=+058|west=-0138,p11,3784,2039,"(30.0, 0.0, -30585.0, 0.0, -30.0, 56805.0, 0.0, 0.0, 1.0)","PROJCRS[""unknown"",BASEGEOGCRS[""unknown"",DATUM[""World Geodetic System 1984"",ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ID[""EPSG"",6326]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8901]]],CONVERSION[""unknown"",METHOD[""Lambert Azimuthal Equal Area"",ID[""EPSG"",9820]],PARAMETER[""Latitude of natural origin"",58.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8801]],PARAMETER[""Longitude of natural origin"",-137.5,ANGLEUNIT[""degree"",0.0174532925199433],ID[""EPSG"",8802]],PARAMETER[""False easting"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8806]],PARAMETER[""False northing"",0,LENGTHUNIT[""metre"",1],ID[""EPSG"",8807]]],CS[Cartesian,2],AXIS[""(E)"",east,ORDER[1],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]],AXIS[""(N)"",north,ORDER[2],LENGTHUNIT[""metre"",1,ID[""EPSG"",9001]]]]",True,7,"[""Copernicus_DSM_COG_10_N57_00_W138_00_DEM"", ""Copernicus_DSM_COG_10_N57_00_W139_00_DEM""]",bbd0d18cf151f2aa854a4be9642c6a9757ada97461ea4f9ba979811226db39d9,bbd0d18cf151f2aa854a4be9642c6a9757ada97461ea4f9ba979811226db39d9,True,True,0.0
rgi7.0|global|south=+058|west=-0138,pzi,144,144,"(0.008333333333333333, 0.0, -138.1, 0.0, -0.008333333333333333, 59.1, 0.0, 0.0, 1.0)",EPSG:4326,True,1,[],6844a7ace1c7c1609d68d8d1d4c801e12a067afb6800620868d0ca05157910b7,6844a7ace1c7c1609d68d8d1d4c801e12a067afb6800620868d0ca05157910b7,True,True,0.0
