dimension,group,instance,population_cells,no_absent_object_intersects_conservative_screen_cells,unresolved_cells,not_applicable_cells
region,01,glo30,145,145,0,0
region,02,glo30,134,134,0,0
region,03,glo30,182,182,0,0
region,04,glo30,85,85,0,0
region,05,glo30,336,336,0,0
region,06,glo30,21,21,0,0
region,07,glo30,60,60,0,0
region,08,glo30,45,45,0,0
region,09,glo30,105,104,1,0
region,10,glo30,161,161,0,0
region,11,glo30,23,23,0,0
region,12,glo30,29,24,5,0
region,13,glo30,235,235,0,0
region,14,glo30,41,41,0,0
region,15,glo30,52,52,0,0
region,16,glo30,54,54,0,0
region,17,glo30,91,91,0,0
region,18,glo30,12,12,0,0
region,19,glo30,15,15,0,0
region,01,glo90,145,145,0,0
region,02,glo90,134,134,0,0
region,03,glo90,182,182,0,0
region,04,glo90,85,85,0,0
region,05,glo90,336,336,0,0
region,06,glo90,21,21,0,0
region,07,glo90,60,60,0,0
region,08,glo90,45,45,0,0
region,09,glo90,105,104,1,0
region,10,glo90,161,161,0,0
region,11,glo90,23,23,0,0
region,12,glo90,29,29,0,0
region,13,glo90,235,235,0,0
region,14,glo90,41,41,0,0
region,15,glo90,52,52,0,0
region,16,glo90,54,54,0,0
region,17,glo90,91,91,0,0
region,18,glo90,12,12,0,0
region,19,glo90,15,15,0,0
latitude,-60,glo30,37,37,0,0
latitude,-50,glo30,43,43,0,0
latitude,-40,glo30,24,24,0,0
latitude,-30,glo30,18,18,0,0
latitude,-20,glo30,30,30,0,0
latitude,-10,glo30,9,9,0,0
latitude,0,glo30,8,8,0,0
latitude,10,glo30,3,3,0,0
latitude,20,glo30,49,49,0,0
latitude,30,glo30,242,241,1,0
latitude,40,glo30,161,157,4,0
latitude,50,glo30,194,194,0,0
latitude,60,glo30,343,343,0,0
latitude,70,glo30,390,389,1,0
latitude,80,glo30,275,275,0,0
latitude,-60,glo90,37,37,0,0
latitude,-50,glo90,43,43,0,0
latitude,-40,glo90,24,24,0,0
latitude,-30,glo90,18,18,0,0
latitude,-20,glo90,30,30,0,0
latitude,-10,glo90,9,9,0,0
latitude,0,glo90,8,8,0,0
latitude,10,glo90,3,3,0,0
latitude,20,glo90,49,49,0,0
latitude,30,glo90,242,242,0,0
latitude,40,glo90,161,161,0,0
latitude,50,glo90,194,194,0,0
latitude,60,glo90,343,343,0,0
latitude,70,glo90,390,389,1,0
latitude,80,glo90,275,275,0,0
