cell_key,south,west,dominant_region,role,latitude,longitude,proximity_applicable,screen_relevant
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-61,-29,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-61,-28,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-61,-27,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-60,-29,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,core,-60,-28,True,True
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-60,-27,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-59,-29,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-59,-28,True,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,halo,-59,-27,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-61,-28,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-61,-27,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-61,-26,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-60,-28,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,core,-60,-27,True,True
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-60,-26,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-59,-28,True,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-59,-27,True,True
rgi7.0|global|south=-060|west=-0027,-60,-27,19,halo,-59,-26,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-60,-28,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-60,-27,True,True
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-60,-26,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-59,-28,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,core,-59,-27,True,True
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-59,-26,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-58,-28,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-58,-27,True,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,halo,-58,-26,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-59,-28,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-59,-27,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-59,-26,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-58,-28,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,core,-58,-27,True,True
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-58,-26,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-57,-28,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-57,-27,True,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,halo,-57,-26,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-58,-29,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-58,-28,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-58,-27,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-57,-29,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,core,-57,-28,True,True
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-57,-27,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-56,-29,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-56,-28,True,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,halo,-56,-27,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-57,-72,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-57,-71,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-57,-70,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-56,-72,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,core,-56,-71,True,True
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-56,-70,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-55,-72,True,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-55,-71,True,True
rgi7.0|global|south=-056|west=-0071,-56,-71,17,halo,-55,-70,True,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-57,-71,True,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-57,-70,True,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-57,-69,True,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-56,-71,True,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,core,-56,-70,True,True
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-56,-69,True,True
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-55,-71,True,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-55,-70,True,True
rgi7.0|global|south=-056|west=-0070,-56,-70,17,halo,-55,-69,True,False
