candidate_id,rgi_id,role,endpoint,complete,missing_reason
aru-1-2016,RGI2000-v7.0-G-13-59664,case,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-59664,case,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-67932,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-67932,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-64675,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-64675,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-64411,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-64411,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-65720,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-65720,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-58740,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-58740,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-65809,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-65809,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-60124,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-60124,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-67219,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-67219,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-64333,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-64333,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-64657,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-64657,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-62360,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-62360,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-66890,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-66890,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-60117,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-60117,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-66450,control,t2m_trend_k_decade,True,
aru-1-2016,RGI2000-v7.0-G-13-66450,control,slope_deg,True,
aru-1-2016,RGI2000-v7.0-G-13-58772,control,t2m_trend_k_decade,True,
