candidate_id,date_start,initial_failure,threshold_quantity,index_year,primary_case
aru-1-2016,2016-07-17,glacier_detachment,initial_volume,2016,True
aru-2-2016,2016-09-21,glacier_detachment,initial_volume,2016,True
bukadaban-2022,2022-11-01,glacier_detachment,initial_volume,2022,True
dykhtau-2023,2023-08-12,glacier_collapse,travel_distance,2023,False
eqip-sermia-2014,2014-07-02,glacier_collapse,tsunami_runup,2014,False
flat-creek-2013,2013-08-05,glacier_detachment,initial_volume,2013,True
kunlun-b2-2001,2001-10-01,glacier_collapse,initial_volume,2001,True
kunlun-b4-2001,2001-10-01,glacier_collapse,initial_volume,2001,True
kunlun-k2-2001,2001-10-01,glacier_collapse,initial_volume,2001,True
marmolada-2022,2022-07-03,glacier_collapse,travel_distance,2022,False
petra-dp19,2019-08-02,glacier_detachment,initial_volume,2019,True
sedongpu-2018,2018-10-16,glacier_detachment,travel_distance,2018,False
shuraki-kapali-2017,2017-07-10,glacier_detachment,initial_volume,2017,True
tinguiririca-2007,2007-01-07,glacier_detachment,initial_volume,2007,True
