candidate_id,proposed_status,rgi_id,glims_id,same_glims_rgi_ids,rgi_src_date,distance_km,overlap_fraction,lineage_members,evidence_source,evidence_locator,mapping_method
aru-1-2016,proposed_unique,RGI2000-v7.0-G-13-59664,G082249E34023N,RGI2000-v7.0-G-13-59664,1994-09-16T00:00:00,,,RGI2000-v7.0-G-13-59664,kaab2021;kaab2018,Kaab 2021 Table 1; Kaab 2018 reconstruction,exact published GLIMS identifier
aru-2-2016,proposed_unique,RGI2000-v7.0-G-13-59658,G082268E34005N,RGI2000-v7.0-G-13-59658,1994-09-16T00:00:00,,,RGI2000-v7.0-G-13-59658,kaab2021;kaab2018,Kaab 2021 Table 1; Kaab 2018 reconstruction,exact published GLIMS identifier
bukadaban-2022,proposed_unique,RGI2000-v7.0-G-13-52167,G090873E35992N,RGI2000-v7.0-G-13-52167,2002-08-26T00:00:00,,,RGI2000-v7.0-G-13-52167,kaab2026,Figure 1d,accepted detached-tongue point within RGI outline
dykhtau-2023,unresolved,,,,,,,,bekkiev2024,Figures 1-3,no georeferenced source control or identifier
eqip-sermia-2014,no_rgi_object,,,,,,,,dohmen2025data;doi:10.5067/F6JMOVY5NAVZ,Event LTT_Greenland_2014; complete RGI 7 geometry query,named Greenland Ice Sheet outlet has no RGI 7 glacier object
flat-creek-2013,proposed_unique,RGI2000-v7.0-G-01-14140,G218441E61638N,RGI2000-v7.0-G-01-14140,2005-08-12T00:00:00,,,RGI2000-v7.0-G-01-14140,kaab2021,Table 1; Section 3.7; Figure 14,exact published GLIMS identifier
kunlun-b2-2001,proposed_unique,RGI2000-v7.0-G-13-52988,G094250E35673N,RGI2000-v7.0-G-13-52988,1995-06-07T00:00:00,,,RGI2000-v7.0-G-13-52988,doi:10.1130/B25317.1;zhong2024data,Mapped post-earthquake failures; HMA_ID_8_B2,published mapped event point within RGI outline
kunlun-b4-2001,proposed_unique,RGI2000-v7.0-G-13-52971,G094204E35661N,RGI2000-v7.0-G-13-52971,1995-06-07T00:00:00,,,RGI2000-v7.0-G-13-52971,doi:10.1130/B25317.1;zhong2024data,Mapped post-earthquake failures; HMA_ID_10_B4,published mapped event point within RGI outline
kunlun-k2-2001,proposed_unique,RGI2000-v7.0-G-13-52928,G093533E35755N,RGI2000-v7.0-G-13-52928,2000-08-30T00:00:00,,,RGI2000-v7.0-G-13-52928,doi:10.1130/B25317.1;zhong2024data,Mapped post-earthquake failures; HMA_ID_9_K2,published mapped event point within RGI outline
marmolada-2022,proposed_unique,RGI2000-v7.0-G-11-03473,G011871E46438N,RGI2000-v7.0-G-11-03473,2003-07-30T00:00:00,,,RGI2000-v7.0-G-11-03473,baroni2026;francese2025,Baroni Section 1 and Figure 1; Francese mapped source,accepted initiating-source point within named Marmolada glacier
petra-dp19,proposed_unique,RGI2000-v7.0-G-13-19418,G070689E38981N,RGI2000-v7.0-G-13-19418,2002-07-10T00:00:00,,,RGI2000-v7.0-G-13-19418,kaab2021;doi:10.5194/nhess-21-1409-2021,Kaab Table 1; Dokukin Tables 3-4 event dp-19,exact published GLIMS identifier
sedongpu-2018,proposed_unique,RGI2000-v7.0-G-13-71687,G094940E29811N,RGI2000-v7.0-G-13-71687,2003-07-24T00:00:00,,,RGI2000-v7.0-G-13-71687,kaab2021,Table 1; Sections 3.6.1-3.6.2; Figures 12-13,exact published GLIMS identifier
shuraki-kapali-2017,proposed_unique,RGI2000-v7.0-G-13-19343,G070852E38974N,RGI2000-v7.0-G-13-19343,2002-07-10T00:00:00,,,RGI2000-v7.0-G-13-19343,kaab2021;doi:10.5194/nhess-21-1409-2021,Kaab Table 1; Dokukin Section 4.2 and Tables 3-4,exact published GLIMS identifier
tinguiririca-2007,proposed_unique,RGI2000-v7.0-G-17-24917,G289661E34832S,RGI2000-v7.0-G-17-24917,2003-03-17T00:00:00,,,RGI2000-v7.0-G-17-24917,kaab2021,Table 1; Figures 17-18,published event point lies within the mapped southern-flank glacier
