left_initial_cluster,right_initial_cluster,latitude,longitude
bukadaban-2022,trigger-kunlun-2001,35.75,90.75
bukadaban-2022,trigger-kunlun-2001,35.75,92.00
bukadaban-2022,trigger-kunlun-2001,35.75,94.25
bukadaban-2022,trigger-kunlun-2001,36.00,90.75
bukadaban-2022,trigger-kunlun-2001,36.00,91.00
bukadaban-2022,trigger-kunlun-2001,36.25,87.25
bukadaban-2022,trigger-kunlun-2001,36.50,87.50
bukadaban-2022,trigger-kunlun-2001,36.75,84.50
bukadaban-2022,trigger-kunlun-2001,36.75,84.75
bukadaban-2022,trigger-kunlun-2001,37.75,88.25
petra-dp19,site-petra-sk,37.75,70.75
petra-dp19,site-petra-sk,38.00,70.75
petra-dp19,site-petra-sk,38.00,71.00
petra-dp19,site-petra-sk,38.00,71.75
petra-dp19,site-petra-sk,38.25,71.00
petra-dp19,site-petra-sk,38.50,71.25
petra-dp19,site-petra-sk,38.75,71.00
petra-dp19,site-petra-sk,38.75,71.25
petra-dp19,site-petra-sk,39.00,70.75
petra-dp19,site-petra-sk,39.00,71.00
