year,latitude_tile,longitude_tile,points,hours
1981,17,28,6,8760
1981,17,29,12,8760
1981,17,30,8,8760
1981,18,30,5,8760
1981,18,31,8,8760
1982,17,28,6,8760
1982,17,29,12,8760
1982,17,30,8,8760
1982,18,30,5,8760
1982,18,31,8,8760
1983,17,28,6,8760
1983,17,29,12,8760
1983,17,30,8,8760
1983,18,30,5,8760
1983,18,31,8,8760
1984,17,28,6,8784
1984,17,29,12,8784
1984,17,30,8,8784
1984,18,30,5,8784
1984,18,31,8,8784
1985,17,28,6,8760
1985,17,29,12,8760
1985,17,30,8,8760
1985,18,30,5,8760
1985,18,31,8,8760
1986,17,28,6,8760
1986,17,29,12,8760
1986,17,30,8,8760
1986,18,30,5,8760
1986,18,31,8,8760
1987,17,28,6,8760
1987,17,29,12,8760
1987,17,30,8,8760
1987,18,30,5,8760
1987,18,31,8,8760
1987,41,96,11,8760
1987,43,96,1,8760
1988,17,28,6,8784
1988,17,29,12,8784
1988,17,30,8,8784
1988,18,30,5,8784
1988,18,31,8,8784
1988,41,96,11,8784
1988,43,96,1,8784
1989,17,28,6,8760
1989,17,29,12,8760
1989,17,30,8,8760
1989,18,30,5,8760
1989,18,31,8,8760
1989,41,96,11,8760
1989,43,96,1,8760
1990,17,28,6,8760
1990,17,29,12,8760
1990,17,30,8,8760
1990,18,30,5,8760
1990,18,31,8,8760
1990,41,96,11,8760
1990,43,96,1,8760
1991,17,28,6,8760
1991,17,29,12,8760
1991,17,30,8,8760
1991,18,30,5,8760
1991,18,31,8,8760
1991,41,96,11,8760
1991,43,96,1,8760
1992,17,28,6,8784
1992,17,29,12,8784
1992,17,30,8,8784
1992,18,30,5,8784
1992,18,31,8,8784
1992,41,96,11,8784
1992,43,96,1,8784
1993,9,72,9,8760
1993,9,73,8,8760
1993,17,28,6,8760
1993,17,29,12,8760
1993,17,30,8,8760
1993,18,30,5,8760
1993,18,31,8,8760
1993,41,96,11,8760
1993,43,96,1,8760
1994,9,72,9,8760
1994,9,73,8,8760
1994,17,28,6,8760
1994,17,29,12,8760
1994,17,30,8,8760
1994,18,30,5,8760
1994,18,31,8,8760
1994,41,96,11,8760
1994,43,96,1,8760
1995,9,72,9,8760
1995,9,73,8,8760
1995,17,28,6,8760
1995,17,29,12,8760
1995,17,30,8,8760
1995,18,30,5,8760
1995,18,31,8,8760
1995,41,96,11,8760
1995,43,96,1,8760
1996,9,72,9,8784
1996,9,73,8,8784
1996,17,28,6,8784
1996,17,29,12,8784
1996,17,30,8,8784
1996,18,26,3,8784
1996,18,27,4,8784
1996,18,28,2,8784
1996,18,29,4,8784
1996,18,30,5,8784
1996,18,31,9,8784
1996,19,27,8,8784
1996,19,28,4,8784
1996,19,30,4,8784
1996,19,31,1,8784
1996,20,27,2,8784
1996,20,28,1,8784
1996,20,29,1,8784
1996,20,30,2,8784
1996,41,96,11,8784
1996,43,96,1,8784
1997,9,72,9,8760
1997,9,73,8,8760
1997,16,24,1,8760
1997,17,23,14,8760
1997,17,28,6,8760
1997,17,29,12,8760
1997,17,30,8,8760
1997,18,26,3,8760
1997,18,27,4,8760
1997,18,28,2,8760
1997,18,29,4,8760
1997,18,30,5,8760
1997,18,31,9,8760
1997,19,27,8,8760
1997,19,28,4,8760
1997,19,30,4,8760
1997,19,31,1,8760
1997,20,27,2,8760
1997,20,28,1,8760
1997,20,29,1,8760
1997,20,30,2,8760
1997,41,96,11,8760
1997,43,96,1,8760
1998,9,72,9,8760
1998,9,73,8,8760
1998,16,24,1,8760
1998,17,23,14,8760
1998,17,28,6,8760
1998,17,29,12,8760
1998,17,30,8,8760
1998,18,26,3,8760
1998,18,27,4,8760
1998,18,28,2,8760
1998,18,29,4,8760
1998,18,30,5,8760
1998,18,31,9,8760
1998,19,27,8,8760
1998,19,28,4,8760
1998,19,30,4,8760
1998,19,31,1,8760
1998,20,27,2,8760
1998,20,28,1,8760
1998,20,29,1,8760
1998,20,30,2,8760
1998,41,96,11,8760
1998,43,96,1,8760
1999,9,72,9,8760
1999,9,73,8,8760
1999,16,24,3,8760
1999,17,23,19,8760
1999,17,24,2,8760
1999,17,28,6,8760
1999,17,29,12,8760
1999,17,30,8,8760
1999,18,26,3,8760
1999,18,27,4,8760
1999,18,28,2,8760
1999,18,29,4,8760
