latitude,longitude,year,hour_count,t2m_mean_k,missing_reason
35.50,94.50,1981,8760,265.32282575145706,
35.50,94.75,1981,8760,265.250942967036,
35.50,95.00,1981,8760,265.45525430653191,
35.75,90.75,1981,8760,262.88835972476767,
35.75,92.00,1981,8760,264.80127133234453,
35.75,93.00,1981,8760,266.7378255817988,
35.75,93.50,1981,8760,266.67748873114044,
35.75,93.75,1981,8760,266.08067283456182,
35.75,94.25,1981,8760,268.17911968144108,
36.00,90.75,1981,8760,261.45284006301671,
36.00,91.00,1981,8760,261.56036182037769,
36.00,91.50,1981,8760,261.91435682566743,
36.00,93.00,1981,8760,264.88929665622101,
36.25,87.25,1981,8760,260.60946327627522,
36.25,90.25,1981,8760,261.09761634547959,
36.25,91.00,1981,8760,261.15705402147825,
36.25,91.75,1981,8760,263.24668615506664,
36.25,92.00,1981,8760,265.20578203419029,
36.50,87.25,1981,8760,259.68182948909396,
36.50,87.50,1981,8760,259.54264836420208,
36.50,91.25,1981,8760,262.04841680483185,
36.50,91.50,1981,8760,263.62483524165742,
36.75,84.25,1981,8760,266.63922929633156,
36.75,84.50,1981,8760,264.96329663768751,
36.75,84.75,1981,8760,262.10005301906637,
36.75,85.00,1981,8760,261.90380077971713,
36.75,85.25,1981,8760,261.61463904359027,
36.75,91.00,1981,8760,262.53290930447514,
36.75,91.25,1981,8760,264.40063902101559,
37.25,85.75,1981,8760,265.31075604582486,
37.25,87.25,1981,8760,264.02853834073835,
37.25,87.50,1981,8760,263.63688059593443,
37.50,87.50,1981,8760,266.26004925906386,
37.50,87.75,1981,8760,264.54317541078888,
37.50,88.00,1981,8760,262.72037447054095,
37.75,88.25,1981,8760,263.78687326091608,
38.00,87.50,1981,8760,268.51359590678453,
38.25,89.25,1981,8760,268.24978999830273,
38.25,89.50,1981,8760,268.93578525177418,
35.50,94.50,1982,8760,264.73416693352129,
35.50,94.75,1982,8760,264.52713191237081,
35.50,95.00,1982,8760,264.79372234083201,
35.75,90.75,1982,8760,262.23106385148282,
35.75,92.00,1982,8760,264.24208981065448,
35.75,93.00,1982,8760,265.95209420434958,
35.75,93.50,1982,8760,265.98367398928292,
35.75,93.75,1982,8760,265.39709166086971,
