rgi_id,polygon_area_m2,intersected_area_m2,planar_relative_closure_error,geodesic_representation_difference,weight_sum
RGI2000-v7.0-G-01-13024,325900.1699672798,325900.1699672798,2.220446049250313e-16,0,1
RGI2000-v7.0-G-01-13121,1051766.178387531,1051766.178399009,2.55351295663786e-15,1.091260415364559e-11,0.9999999999999999
RGI2000-v7.0-G-01-13173,1527420.787223604,1527420.787223604,6.661338147750939e-16,0,1
RGI2000-v7.0-G-01-13781,695417.5947433999,695417.5947433999,1.110223024625157e-16,0,1
RGI2000-v7.0-G-01-13786,416007.1198344911,416007.1198344911,2.220446049250313e-16,0,1
RGI2000-v7.0-G-01-14039,509805.1253136881,509805.1253136881,3.33066907387547e-16,0,1
RGI2000-v7.0-G-01-14085,612698.797012629,612698.8940197621,1.643130076445232e-14,1.583276050265425e-07,1
RGI2000-v7.0-G-01-14110,769805.9378688056,769805.9378688056,4.440892098500626e-16,0,1
RGI2000-v7.0-G-01-14140,1244499.526894282,1244499.526894282,2.220446049250313e-16,0,1
RGI2000-v7.0-G-01-14149,1481924.986038444,1481924.983408821,5.329070518200751e-15,1.774464242210172e-09,1
RGI2000-v7.0-G-01-14376,1445538.76181323,1445538.76181323,0,0,1
RGI2000-v7.0-G-01-14381,386166.6522901412,386166.6522901412,2.220446049250313e-16,0,1
RGI2000-v7.0-G-01-14580,893712.6005074903,893712.6005074903,0,0,1
RGI2000-v7.0-G-01-14630,2082041.976804962,2082041.976804962,1.110223024625157e-15,0,1
RGI2000-v7.0-G-01-16095,443377.8250997197,443377.8250997197,7.771561172376096e-16,0,1
RGI2000-v7.0-G-01-16128,1158931.086960325,1158931.085930774,5.440092820663267e-15,8.883626056999105e-10,1
RGI2000-v7.0-G-01-16157,1099664.168783853,1099664.168783853,1.110223024625157e-16,0,1
RGI2000-v7.0-G-01-16185,560551.8540422283,560551.8600034863,4.884981308350689e-15,1.063462362616008e-08,0.9999999999999999
RGI2000-v7.0-G-01-16195,601192.5100512132,601192.5100512132,0,0,1
RGI2000-v7.0-G-01-16326,1441892.450834076,1441892.450834076,2.442490654175344e-15,0,1
RGI2000-v7.0-G-01-16561,533061.3330462724,533061.3330462724,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-05349,501379.4918882484,501379.4918882484,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-05381,142298.1085464498,142298.1085464498,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-05526,343197.1632210833,343197.1632210833,3.33066907387547e-16,0,1
