rgi_id,latitude,longitude,intersection_area_m2,weight
RGI2000-v7.0-G-01-13024,61.00,218.00,325900.1699672798,1
RGI2000-v7.0-G-01-13121,60.75,218.50,959959.4023091395,0.9127118004216328
RGI2000-v7.0-G-01-13121,60.75,218.75,91806.77608986909,0.08728819957836706
RGI2000-v7.0-G-01-13173,60.75,219.00,1527420.787223604,1
RGI2000-v7.0-G-01-13781,61.00,219.00,695417.5947433999,1
RGI2000-v7.0-G-01-13786,61.00,219.00,416007.1198344911,1
RGI2000-v7.0-G-01-14039,61.50,218.00,509805.1253136881,1
RGI2000-v7.0-G-01-14085,61.50,217.75,177368.4033831656,0.2894870630816656
RGI2000-v7.0-G-01-14085,61.50,218.00,435330.4906365965,0.7105129369183344
RGI2000-v7.0-G-01-14110,61.50,218.00,769805.9378688056,1
RGI2000-v7.0-G-01-14140,61.75,218.50,1244499.526894282,1
RGI2000-v7.0-G-01-14149,61.50,218.50,620703.9721612409,0.4188497927428532
RGI2000-v7.0-G-01-14149,61.75,218.50,861221.0112475804,0.5811502072571468
RGI2000-v7.0-G-01-14376,61.25,220.25,1445538.76181323,1
RGI2000-v7.0-G-01-14381,61.25,220.25,386166.6522901412,1
RGI2000-v7.0-G-01-14580,60.75,221.50,893712.6005074903,1
RGI2000-v7.0-G-01-14630,60.50,221.50,2082041.976804962,1
RGI2000-v7.0-G-01-16095,61.00,221.00,443377.8250997197,1
RGI2000-v7.0-G-01-16128,61.00,220.75,1020253.764796443,0.8803403215101832
RGI2000-v7.0-G-01-16128,61.00,221.00,138677.3211343307,0.1196596784898168
RGI2000-v7.0-G-01-16157,61.00,220.75,1099664.168783853,1
RGI2000-v7.0-G-01-16185,61.25,220.25,156403.2209260762,0.2790165051367476
RGI2000-v7.0-G-01-16185,61.25,220.50,404148.6390774101,0.7209834948632523
RGI2000-v7.0-G-01-16195,61.25,220.25,601192.5100512132,1
RGI2000-v7.0-G-01-16326,61.00,218.75,1441892.450834076,1
RGI2000-v7.0-G-01-16561,62.25,218.25,533061.3330462724,1
