rgi_id,index_year,year,latitude,longitude
RGI2000-v7.0-G-01-13024,2013,1993,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,1994,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,1995,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,1996,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,1997,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,1998,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,1999,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2000,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2001,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2002,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2003,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2004,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2005,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2006,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2007,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2008,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2009,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2010,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2011,61.00,218.00
RGI2000-v7.0-G-01-13024,2013,2012,61.00,218.00
RGI2000-v7.0-G-01-13121,2013,1993,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1993,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,1994,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1994,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,1995,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1995,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,1996,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1996,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,1997,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1997,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,1998,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1998,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,1999,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,1999,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2000,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2000,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2001,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2001,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2002,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2002,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2003,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2003,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2004,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2004,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2005,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2005,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2006,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2006,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2007,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2007,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2008,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2008,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2009,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2009,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2010,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2010,60.75,218.75
RGI2000-v7.0-G-01-13121,2013,2011,60.75,218.50
RGI2000-v7.0-G-01-13121,2013,2011,60.75,218.75
