rgi_id,slope_deg,dem_source,rgi_grid_spacing_m,src_date,missing_reason
RGI2000-v7.0-G-01-13024,21.023031,COPDEM30,17.99227350,2010-09-19T00:00:00,
RGI2000-v7.0-G-01-13121,23.0139,COPDEM30,24.35779118,2010-09-12T00:00:00,
RGI2000-v7.0-G-01-13173,20.665711999999999,COPDEM30,27.30242698,2005-08-13T00:00:00,
RGI2000-v7.0-G-01-13781,35.326965000000001,COPDEM30,21.67483863,2005-08-13T00:00:00,
RGI2000-v7.0-G-01-13786,42.894843999999999,COPDEM30,19.02980003,2005-08-13T00:00:00,
RGI2000-v7.0-G-01-14039,28.610014,COPDEM30,19.99608922,2005-08-12T00:00:00,
RGI2000-v7.0-G-01-14085,29.008738000000001,COPDEM30,20.95851540,2010-09-19T00:00:00,
RGI2000-v7.0-G-01-14110,23.957455,COPDEM30,22.28340243,2005-08-12T00:00:00,
RGI2000-v7.0-G-01-14140,26.937225000000002,COPDEM30,25.61800373,2005-08-12T00:00:00,
RGI2000-v7.0-G-01-14149,19.651236000000001,COPDEM30,27.04280570,2005-08-12T00:00:00,
RGI2000-v7.0-G-01-14376,31.75656,COPDEM30,26.83227527,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-14381,30.579977,COPDEM30,18.69991757,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-14580,20.233374000000001,COPDEM30,23.23510603,2010-08-14T00:00:00,
RGI2000-v7.0-G-01-14630,17.442778000000001,COPDEM30,30.20098311,2010-08-14T00:00:00,
RGI2000-v7.0-G-01-16095,22.188744,COPDEM30,19.32207929,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-16128,24.354918000000001,COPDEM30,25.07152373,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-16157,15.05809,COPDEM30,24.68108121,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-16185,23.143476,COPDEM30,20.48180167,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-16195,32.336489999999998,COPDEM30,20.85512899,2010-08-04T00:00:00,
RGI2000-v7.0-G-01-16326,26.092312,COPDEM30,26.81103006,2005-08-12T00:00:00,
RGI2000-v7.0-G-01-16561,18.996715999999999,COPDEM30,20.22154111,2010-09-19T00:00:00,
RGI2000-v7.0-G-13-05349,22.860825999999999,COPDEM30,19.91314185,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-05381,20.741161000000002,COPDEM30,15.28113901,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-05526,25.025112,COPDEM30,18.20162448,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-05558,16.324701000000001,COPDEM30,16.05124530,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-05728,24.002860999999999,COPDEM30,21.53261051,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-06035,19.031258000000001,COPDEM30,20.98483981,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-06069,21.392828000000002,COPDEM30,18.40306457,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-06091,17.713160999999999,COPDEM30,23.39807079,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-06104,16.380231999999999,COPDEM30,30.23448408,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-06341,21.203173,COPDEM30,21.08816342,2002-07-10T00:00:00,
RGI2000-v7.0-G-13-06828,25.272964000000002,COPDEM30,15.88914597,2002-07-10T00:00:00,
