cell_key,south,west,dominant_region,latitude_band_south,instance,required_object_count,present_object_count,absent_object_count,absent_object_ids,core_object_present,full_halo_object_support,selected_annotation
rgi7.0|global|south=-060|west=-0028,-60,-28,19,-60,glo30,9,3,6,"[""Copernicus_DSM_COG_10_S59_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S59_00_W029_00_DEM"",""Copernicus_DSM_COG_10_S60_00_W029_00_DEM"",""Copernicus_DSM_COG_10_S61_00_W027_00_DEM"",""Copernicus_DSM_COG_10_S61_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S61_00_W029_00_DEM""]",True,False,False
rgi7.0|global|south=-060|west=-0028,-60,-28,19,-60,glo90,9,3,6,"[""Copernicus_DSM_COG_30_S59_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S59_00_W029_00_DEM"",""Copernicus_DSM_COG_30_S60_00_W029_00_DEM"",""Copernicus_DSM_COG_30_S61_00_W027_00_DEM"",""Copernicus_DSM_COG_30_S61_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S61_00_W029_00_DEM""]",True,False,False
rgi7.0|global|south=-060|west=-0027,-60,-27,19,-60,glo30,9,3,6,"[""Copernicus_DSM_COG_10_S59_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S59_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S60_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S61_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S61_00_W027_00_DEM"",""Copernicus_DSM_COG_10_S61_00_W028_00_DEM""]",True,False,True
rgi7.0|global|south=-060|west=-0027,-60,-27,19,-60,glo90,9,3,6,"[""Copernicus_DSM_COG_30_S59_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S59_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S60_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S61_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S61_00_W027_00_DEM"",""Copernicus_DSM_COG_30_S61_00_W028_00_DEM""]",True,False,True
rgi7.0|global|south=-059|west=-0027,-59,-27,19,-60,glo30,9,4,5,"[""Copernicus_DSM_COG_10_S58_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S58_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S59_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S59_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S60_00_W026_00_DEM""]",True,False,False
rgi7.0|global|south=-059|west=-0027,-59,-27,19,-60,glo90,9,4,5,"[""Copernicus_DSM_COG_30_S58_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S58_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S59_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S59_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S60_00_W026_00_DEM""]",True,False,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,-60,glo30,9,3,6,"[""Copernicus_DSM_COG_10_S57_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W027_00_DEM"",""Copernicus_DSM_COG_10_S58_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S58_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S59_00_W026_00_DEM"",""Copernicus_DSM_COG_10_S59_00_W028_00_DEM""]",True,False,False
rgi7.0|global|south=-058|west=-0027,-58,-27,19,-60,glo90,9,3,6,"[""Copernicus_DSM_COG_30_S57_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S57_00_W027_00_DEM"",""Copernicus_DSM_COG_30_S58_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S58_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S59_00_W026_00_DEM"",""Copernicus_DSM_COG_30_S59_00_W028_00_DEM""]",True,False,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,-60,glo30,9,3,6,"[""Copernicus_DSM_COG_10_S56_00_W027_00_DEM"",""Copernicus_DSM_COG_10_S56_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S56_00_W029_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W027_00_DEM"",""Copernicus_DSM_COG_10_S58_00_W028_00_DEM"",""Copernicus_DSM_COG_10_S58_00_W029_00_DEM""]",True,False,False
rgi7.0|global|south=-057|west=-0028,-57,-28,19,-60,glo90,9,3,6,"[""Copernicus_DSM_COG_30_S56_00_W027_00_DEM"",""Copernicus_DSM_COG_30_S56_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S56_00_W029_00_DEM"",""Copernicus_DSM_COG_30_S57_00_W027_00_DEM"",""Copernicus_DSM_COG_30_S58_00_W028_00_DEM"",""Copernicus_DSM_COG_30_S58_00_W029_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,-60,glo30,9,6,3,"[""Copernicus_DSM_COG_10_S57_00_W070_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W071_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W072_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0071,-56,-71,17,-60,glo90,9,6,3,"[""Copernicus_DSM_COG_30_S57_00_W070_00_DEM"",""Copernicus_DSM_COG_30_S57_00_W071_00_DEM"",""Copernicus_DSM_COG_30_S57_00_W072_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,-60,glo30,9,7,2,"[""Copernicus_DSM_COG_10_S57_00_W070_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W071_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0070,-56,-70,17,-60,glo90,9,7,2,"[""Copernicus_DSM_COG_30_S57_00_W070_00_DEM"",""Copernicus_DSM_COG_30_S57_00_W071_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0069,-56,-69,17,-60,glo30,9,7,2,"[""Copernicus_DSM_COG_10_S57_00_W068_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W070_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0069,-56,-69,17,-60,glo90,9,7,2,"[""Copernicus_DSM_COG_30_S57_00_W068_00_DEM"",""Copernicus_DSM_COG_30_S57_00_W070_00_DEM""]",True,False,False
rgi7.0|global|south=-056|west=-0068,-56,-68,17,-60,glo30,9,7,2,"[""Copernicus_DSM_COG_10_S57_00_W067_00_DEM"",""Copernicus_DSM_COG_10_S57_00_W068_00_DEM""]",True,False,False
