cell_key,south,west,dominant_region,eligible_region_cells
rgi7.0|global|south=+054|west=-0131,54,-131,01,103
rgi7.0|global|south=+055|west=-0130,55,-130,01,103
rgi7.0|global|south=+055|west=-0131,55,-131,01,103
rgi7.0|global|south=+055|west=-0132,55,-132,01,103
rgi7.0|global|south=+055|west=-0161,55,-161,01,103
rgi7.0|global|south=+056|west=-0130,56,-130,01,103
rgi7.0|global|south=+056|west=-0131,56,-131,01,103
rgi7.0|global|south=+056|west=-0132,56,-132,01,103
rgi7.0|global|south=+056|west=-0133,56,-133,01,103
rgi7.0|global|south=+057|west=-0129,57,-129,01,103
rgi7.0|global|south=+057|west=-0130,57,-130,01,103
rgi7.0|global|south=+057|west=-0131,57,-131,01,103
rgi7.0|global|south=+057|west=-0132,57,-132,01,103
rgi7.0|global|south=+057|west=-0133,57,-133,01,103
rgi7.0|global|south=+057|west=-0134,57,-134,01,103
rgi7.0|global|south=+057|west=-0135,57,-135,01,103
rgi7.0|global|south=+057|west=-0158,57,-158,01,103
rgi7.0|global|south=+058|west=-0130,58,-130,01,103
rgi7.0|global|south=+058|west=-0132,58,-132,01,103
rgi7.0|global|south=+058|west=-0133,58,-133,01,103
rgi7.0|global|south=+058|west=-0134,58,-134,01,103
rgi7.0|global|south=+058|west=-0135,58,-135,01,103
rgi7.0|global|south=+058|west=-0136,58,-136,01,103
rgi7.0|global|south=+058|west=-0154,58,-154,01,103
rgi7.0|global|south=+058|west=-0156,58,-156,01,103
rgi7.0|global|south=+059|west=-0134,59,-134,01,103
rgi7.0|global|south=+059|west=-0135,59,-135,01,103
rgi7.0|global|south=+059|west=-0136,59,-136,01,103
rgi7.0|global|south=+059|west=-0137,59,-137,01,103
rgi7.0|global|south=+059|west=-0138,59,-138,01,103
rgi7.0|global|south=+059|west=-0153,59,-153,01,103
rgi7.0|global|south=+059|west=-0154,59,-154,01,103
rgi7.0|global|south=+059|west=-0155,59,-155,01,103
rgi7.0|global|south=+059|west=-0160,59,-160,01,103
rgi7.0|global|south=+060|west=-0136,60,-136,01,103
rgi7.0|global|south=+060|west=-0137,60,-137,01,103
rgi7.0|global|south=+060|west=-0138,60,-138,01,103
