region,region_name,stratum,reference_glo30_p00_m2,aggregated_glo30_r90_m2,aggregated_glo30_departure,native_glo90_n00_m2,native_glo90_departure,native_phase_mean_m2,native_phase_cv,primary_finite_center_fraction,primary_complete_support_fraction,native_support_status,structural_zero,zero_reference_positive_comparison,interpretation
03,Arctic Canada North,glacier_proximity,3545213.5161539824,3336136.3154028463,0.05897450176088492,3171510.0981142535,0.10541069426056467,3177299.9323303313,0.012235050328050183,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
03,Arctic Canada North,permafrost,96149681.13593864,92550711.77683704,0.03743090269860908,89765808.19342345,0.06639515458703941,89885426.38826019,0.0011604140248627954,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
07,Svalbard and Jan Mayen,glacier_proximity,362136.6318714776,313484.08504679875,0.13434859261060791,272303.27034500975,0.24806482863172408,269157.7357182081,0.01870442829942676,0.999327767407523,0.9968068951857343,complete,no,no,exposed_window_native_source_development_no_pass_label
07,Svalbard and Jan Mayen,permafrost,7052207.598494374,6552732.53166715,0.07082534934647429,6188536.523009514,0.122468186510739,6155252.519862233,0.004051490492788219,0.999327767407523,0.9968068951857343,complete,no,no,exposed_window_native_source_development_no_pass_label
08,Scandinavia,glacier_proximity,946321.581481948,911398.528005364,0.03690400193758047,883353.906581711,0.06653940492578544,867824.3283468245,0.041652829226890994,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
08,Scandinavia,permafrost,97055673.7034252,94510264.32455058,0.026226281079173887,92399358.0238844,0.04797571849090644,92461371.37519467,0.0004069514808518224,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
04,Arctic Canada South,glacier_proximity,1465247.5956567454,1418512.7068135496,0.03189555743461124,1340126.3950465997,0.08539253091493014,1308115.7370931485,0.021755873849782923,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
04,Arctic Canada South,permafrost,124272118.66230267,122018466.4424464,0.018134817721908777,119986443.6709065,0.03448621490909056,120197029.47294074,0.0014981697715734125,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
10,North Asia,glacier_proximity,2808095.2198330094,2740186.1975819017,0.024183304672676348,2646220.3372628544,0.057645795422771054,2603729.8657942098,0.016430203307029413,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
10,North Asia,permafrost,289047928.70907474,277166744.99584806,0.04110454541670502,265196421.81397504,0.08251748075699279,265123659.33524838,0.0003405886820648787,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
15,South Asia East,glacier_proximity,15501278.125309872,15121408.568645025,0.02450569260121918,14738207.598487355,0.0492262973836077,14826114.013527386,0.004558484266073015,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
15,South Asia East,permafrost,297420943.0939329,291744956.53333926,0.019084017761321695,284763173.41131383,0.042558434355516976,284617959.9312421,0.00231654000103666,1.0,1.0,complete,no,no,exposed_window_native_source_development_no_pass_label
18,New Zealand,glacier_proximity,8213098.54270786,7990216.298950827,0.027137412585280938,7787343.56802409,0.0518385323723875,7815992.71540947,0.005236628077015243,1.0,0.9999918859781588,complete,no,no,exposed_window_native_source_development_no_pass_label
18,New Zealand,permafrost,521071.3761710186,493564.3699763519,0.05278932494199933,486367.8109859862,0.06660040595598264,491792.7795507035,0.024655021054190943,1.0,0.9999918859781588,complete,no,no,exposed_window_native_source_development_no_pass_label
