candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
dickson-2023,7d,4,-1,0
dickson-2023,7d,4,0,0
dickson-2023,7d,4,1,0
dickson-2023,7d,4,2,0
dickson-2023,7d,6.5,-1,0
dickson-2023,7d,6.5,0,0
dickson-2023,7d,6.5,1,0
dickson-2023,7d,6.5,2,0
dickson-2023,7d,9,-1,13
dickson-2023,7d,9,0,0
dickson-2023,7d,9,1,0
dickson-2023,7d,9,2,0
dickson-2023,7d_buffered,4,-1,0
dickson-2023,7d_buffered,4,0,0
dickson-2023,7d_buffered,4,1,0
dickson-2023,7d_buffered,4,2,0
dickson-2023,7d_buffered,6.5,-1,0
dickson-2023,7d_buffered,6.5,0,0
dickson-2023,7d_buffered,6.5,1,0
dickson-2023,7d_buffered,6.5,2,0
dickson-2023,7d_buffered,9,-1,18
dickson-2023,7d_buffered,9,0,0
dickson-2023,7d_buffered,9,1,0
dickson-2023,7d_buffered,9,2,0
paat-2000,7d,4,-1,40
paat-2000,7d,4,0,10
paat-2000,7d,4,1,0
paat-2000,7d,4,2,0
paat-2000,7d,6.5,-1,61
paat-2000,7d,6.5,0,10
paat-2000,7d,6.5,1,0
paat-2000,7d,6.5,2,0
paat-2000,7d,9,-1,62
paat-2000,7d,9,0,10
paat-2000,7d,9,1,0
paat-2000,7d,9,2,0
paat-2000,7d_buffered,4,-1,19
paat-2000,7d_buffered,4,0,4
paat-2000,7d_buffered,4,1,0
paat-2000,7d_buffered,4,2,0
paat-2000,7d_buffered,6.5,-1,37
paat-2000,7d_buffered,6.5,0,4
paat-2000,7d_buffered,6.5,1,0
paat-2000,7d_buffered,6.5,2,0
paat-2000,7d_buffered,9,-1,49
paat-2000,7d_buffered,9,0,4
paat-2000,7d_buffered,9,1,0
paat-2000,7d_buffered,9,2,0
karrat-2017,7d,4,-1,161
karrat-2017,7d,4,0,95
karrat-2017,7d,4,1,0
karrat-2017,7d,4,2,0
karrat-2017,7d,6.5,-1,168
karrat-2017,7d,6.5,0,95
karrat-2017,7d,6.5,1,0
karrat-2017,7d,6.5,2,0
karrat-2017,7d,9,-1,168
karrat-2017,7d,9,0,95
karrat-2017,7d,9,1,0
karrat-2017,7d,9,2,0
karrat-2017,7d_buffered,4,-1,148
karrat-2017,7d_buffered,4,0,92
karrat-2017,7d_buffered,4,1,0
karrat-2017,7d_buffered,4,2,0
karrat-2017,7d_buffered,6.5,-1,168
karrat-2017,7d_buffered,6.5,0,92
karrat-2017,7d_buffered,6.5,1,0
karrat-2017,7d_buffered,6.5,2,0
karrat-2017,7d_buffered,9,-1,168
karrat-2017,7d_buffered,9,0,92
karrat-2017,7d_buffered,9,1,0
karrat-2017,7d_buffered,9,2,0
eqip-sermia-2014,7d,4,-1,168
eqip-sermia-2014,7d,4,0,163
eqip-sermia-2014,7d,4,1,141
eqip-sermia-2014,7d,4,2,26
eqip-sermia-2014,7d,6.5,-1,168
eqip-sermia-2014,7d,6.5,0,163
eqip-sermia-2014,7d,6.5,1,56
eqip-sermia-2014,7d,6.5,2,0
eqip-sermia-2014,7d,9,-1,168
eqip-sermia-2014,7d,9,0,163
eqip-sermia-2014,7d,9,1,12
eqip-sermia-2014,7d,9,2,0
eqip-sermia-2014,7d_buffered,4,-1,168
eqip-sermia-2014,7d_buffered,4,0,168
eqip-sermia-2014,7d_buffered,4,1,153
eqip-sermia-2014,7d_buffered,4,2,41
eqip-sermia-2014,7d_buffered,6.5,-1,168
eqip-sermia-2014,7d_buffered,6.5,0,168
eqip-sermia-2014,7d_buffered,6.5,1,74
eqip-sermia-2014,7d_buffered,6.5,2,0
eqip-sermia-2014,7d_buffered,9,-1,168
eqip-sermia-2014,7d_buffered,9,0,168
eqip-sermia-2014,7d_buffered,9,1,25
eqip-sermia-2014,7d_buffered,9,2,0
askja-2014,7d,4,-1,168
askja-2014,7d,4,0,168
askja-2014,7d,4,1,168
askja-2014,7d,4,2,127
askja-2014,7d,6.5,-1,168
askja-2014,7d,6.5,0,168
askja-2014,7d,6.5,1,156
askja-2014,7d,6.5,2,0
askja-2014,7d,9,-1,168
askja-2014,7d,9,0,168
askja-2014,7d,9,1,105
askja-2014,7d,9,2,0
askja-2014,7d_buffered,4,-1,168
askja-2014,7d_buffered,4,0,168
askja-2014,7d_buffered,4,1,168
askja-2014,7d_buffered,4,2,124
askja-2014,7d_buffered,6.5,-1,168
askja-2014,7d_buffered,6.5,0,168
askja-2014,7d_buffered,6.5,1,156
askja-2014,7d_buffered,6.5,2,0
askja-2014,7d_buffered,9,-1,168
askja-2014,7d_buffered,9,0,168
askja-2014,7d_buffered,9,1,99
askja-2014,7d_buffered,9,2,0
steller-2005,7d,4,-1,168
steller-2005,7d,4,0,155
steller-2005,7d,4,1,84
steller-2005,7d,4,2,0
steller-2005,7d,6.5,-1,168
steller-2005,7d,6.5,0,155
steller-2005,7d,6.5,1,11
steller-2005,7d,6.5,2,0
steller-2005,7d,9,-1,168
steller-2005,7d,9,0,155
steller-2005,7d,9,1,0
steller-2005,7d,9,2,0
steller-2005,7d_buffered,4,-1,168
steller-2005,7d_buffered,4,0,157
steller-2005,7d_buffered,4,1,88
steller-2005,7d_buffered,4,2,0
steller-2005,7d_buffered,6.5,-1,168
steller-2005,7d_buffered,6.5,0,157
steller-2005,7d_buffered,6.5,1,11
steller-2005,7d_buffered,6.5,2,0
steller-2005,7d_buffered,9,-1,168
steller-2005,7d_buffered,9,0,157
steller-2005,7d_buffered,9,1,0
steller-2005,7d_buffered,9,2,0
flat-creek-2013,7d,4,-1,168
flat-creek-2013,7d,4,0,167
flat-creek-2013,7d,4,1,97
flat-creek-2013,7d,4,2,15
flat-creek-2013,7d,6.5,-1,168
flat-creek-2013,7d,6.5,0,167
flat-creek-2013,7d,6.5,1,45
flat-creek-2013,7d,6.5,2,0
flat-creek-2013,7d,9,-1,168
flat-creek-2013,7d,9,0,167
flat-creek-2013,7d,9,1,4
flat-creek-2013,7d,9,2,0
flat-creek-2013,7d_buffered,4,-1,168
flat-creek-2013,7d_buffered,4,0,167
flat-creek-2013,7d_buffered,4,1,112
flat-creek-2013,7d_buffered,4,2,15
flat-creek-2013,7d_buffered,6.5,-1,168
flat-creek-2013,7d_buffered,6.5,0,167
flat-creek-2013,7d_buffered,6.5,1,48
flat-creek-2013,7d_buffered,6.5,2,0
flat-creek-2013,7d_buffered,9,-1,168
flat-creek-2013,7d_buffered,9,0,167
flat-creek-2013,7d_buffered,9,1,4
flat-creek-2013,7d_buffered,9,2,0
taan-2015,7d,4,-1,130
taan-2015,7d,4,0,36
taan-2015,7d,4,1,0
taan-2015,7d,4,2,0
taan-2015,7d,6.5,-1,166
taan-2015,7d,6.5,0,36
taan-2015,7d,6.5,1,0
taan-2015,7d,6.5,2,0
