candidate_id,event_group_id,event_name,event_date,event_year,event_latitude_deg,event_longitude_deg,grid_latitude_deg,grid_longitude_deg_east,latitude_index,longitude_index,land_fraction,model_surface_height_m,distance_km,dependence_component,component_representative,cluster_ids,cell_rank,primary_cell
paat-2000,paat-2000,Paatuut rock avalanche,2000-11-21,2000,70.2667,-52.75,70.5,307,78,1228,0.94550633430480957,723.02764892578125,27.569415563535848,paat-2000,True,,1,True
paat-2000,paat-2000,Paatuut rock avalanche,2000-11-21,2000,70.2667,-52.75,70.5,307.25,78,1229,0.88436102867126465,706.30548095703125,25.941776386176258,paat-2000,True,,2,False
paat-2000,paat-2000,Paatuut rock avalanche,2000-11-21,2000,70.2667,-52.75,70.25,307,79,1228,0.84411585330963135,653.45391845703125,9.5716925263428312,paat-2000,True,,3,False
paat-2000,paat-2000,Paatuut rock avalanche,2000-11-21,2000,70.2667,-52.75,70.25,307.25,79,1229,0.72099804878234863,561.299072265625,1.85695527496311,paat-2000,True,,4,False
aysen-2007-mentirosa,aysen-mentirosa-2007,Aysen Fjord Mentirosa Island rockslide,2007-04-21,2007,-45.399999999999999,-72.969999999999999,-45.5,287.25,542,1149,0.92045855522155762,635.8773193359375,20.448938468960673,aysen-2007-mentirosa,True,trigger-aysen-2007;tsunami-aysen-2007,1,True
aysen-2007-mentirosa,aysen-mentirosa-2007,Aysen Fjord Mentirosa Island rockslide,2007-04-21,2007,-45.399999999999999,-72.969999999999999,-45.25,287.25,541,1149,0.90535640716552734,716.072021484375,23.958673935217536,aysen-2007-mentirosa,True,trigger-aysen-2007;tsunami-aysen-2007,2,False
aysen-2007-mentirosa,aysen-mentirosa-2007,Aysen Fjord Mentirosa Island rockslide,2007-04-21,2007,-45.399999999999999,-72.969999999999999,-45.25,287,541,1148,0.89984714984893799,566.8756103515625,16.843331659302741,aysen-2007-mentirosa,True,trigger-aysen-2007;tsunami-aysen-2007,3,False
aysen-2007-mentirosa,aysen-mentirosa-2007,Aysen Fjord Mentirosa Island rockslide,2007-04-21,2007,-45.399999999999999,-72.969999999999999,-45.5,287,542,1148,0.86473679542541504,505.64324951171875,11.363083078646858,aysen-2007-mentirosa,True,trigger-aysen-2007;tsunami-aysen-2007,4,False
chehalis-2007,chehalis-2007,Chehalis Lake rockslide and wave,2007-12-04,2007,49.469999999999999,-122.01000000000001,49.25,238,163,952,0.96705865859985352,612.501953125,24.473601574891216,chehalis-2007,True,,1,True
chehalis-2007,chehalis-2007,Chehalis Lake rockslide and wave,2007-12-04,2007,49.469999999999999,-122.01000000000001,49.25,237.75,163,951,0.95675241947174072,369.55694580078125,30.00894976765446,chehalis-2007,True,,2,False
