region,region_name,south,west,window_key,window_sha256,variant,spacing_m,phase_x_m,phase_y_m,support_radius_m,ramp_lower_deg,ramp_upper_deg,report_cell_count,support_disk_cell_count,complete_support_cell_count,stratum,mask_definition,stratum_center_count,integration_cell_count,weighted_cell_sum,equivalent_steep_area_m2,reference_equivalent_area_m2,area_ratio,fractional_departure,structural_zero
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,300,25,35,2048214,317,2048214,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,96527,96527,3939.1261290599805,3545213.5161539824,3545213.5161539824,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p00,30,0,0,300,25,35,2048214,317,2048214,permafrost,outside_glacier_pzi_ge_0.1,1124283,1124283,106832.97903993182,96149681.13593863,96149681.13593863,1.0,0.0,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p10,30,15,0,300,25,35,2048228,317,2048228,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,96692,96692,3948.907411645527,3554016.6704809745,3545213.5161539824,1.0024831097723395,0.0024831097723395216,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p10,30,15,0,300,25,35,2048228,317,2048228,permafrost,outside_glacier_pzi_ge_0.1,1124550,1124550,106920.00432282494,96228003.89054245,96149681.13593863,1.0008145919328957,0.0008145919328955813,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p01,30,0,15,300,25,35,2048338,317,2048338,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,96674,96674,3949.0545049723296,3554149.0544750965,3545213.5161539824,1.0025204513861856,0.002520451386185576,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p01,30,0,15,300,25,35,2048338,317,2048338,permafrost,outside_glacier_pzi_ge_0.1,1124520,1124520,106838.27027287701,96154443.2455893,96149681.13593863,1.0000495280857347,4.952808573476913e-05,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p11,30,15,15,300,25,35,2048351,317,2048351,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,96666,96666,3939.4906998062684,3545541.6298256414,3545213.5161539824,1.0000925511736216,9.255117362154812e-05,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,p11,30,15,15,300,25,35,2048351,317,2048351,permafrost,outside_glacier_pzi_ge_0.1,1124734,1124734,106926.94885585038,96234253.97026534,96149681.13593863,1.0008795955777237,0.0008795955777236875,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,r90,90,0,0,300,25,35,227571,37,227571,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,10681,10681,411.86868091393166,3336136.3154028463,3545213.5161539824,0.9410254982391151,0.05897450176088492,no
03,Arctic Canada North,81,-85,rgi7.0|03|south=+81|west=-085,012dc6d1865059d80ab3033b76c740c324c6a76714049c4a31d35704d8f3ae3d,r90,90,0,0,300,25,35,227571,37,227571,permafrost,outside_glacier_pzi_ge_0.1,124954,124954,11426.01379960951,92550711.77683704,96149681.13593863,0.9625690973013911,0.03743090269860893,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p00,30,0,0,300,25,35,2998350,317,2989518,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,39653,39653,402.3740354127529,362136.6318714776,362136.6318714776,1.0,0.0,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p00,30,0,0,300,25,35,2998350,317,2989518,permafrost,outside_glacier_pzi_ge_0.1,277794,277794,7835.786220549305,7052207.598494374,7052207.598494374,1.0,0.0,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p10,30,15,0,300,25,35,2998382,317,2989561,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,39572,39572,399.6049161639705,359644.42454757344,362136.6318714776,0.9931180468790889,0.0068819531209111,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p10,30,15,0,300,25,35,2998382,317,2989561,permafrost,outside_glacier_pzi_ge_0.1,277687,277687,7837.173250232601,7053455.925209342,7052207.598494374,1.0001770121905138,0.00017701219051377494,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p01,30,0,15,300,25,35,2998240,317,2989446,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,39574,39574,401.20966007600475,361088.69406840426,362136.6318714776,0.9971062364012784,0.002893763598721584,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p01,30,0,15,300,25,35,2998240,317,2989446,permafrost,outside_glacier_pzi_ge_0.1,277597,277597,7836.229558398834,7052606.602558951,7052207.598494374,1.0000565786045013,5.657860450136019e-05,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p11,30,15,15,300,25,35,2998269,317,2989483,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,39643,39643,403.34980441164515,363014.82397048065,362136.6318714776,1.0024250297310844,0.002425029731084299,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,p11,30,15,15,300,25,35,2998269,317,2989483,permafrost,outside_glacier_pzi_ge_0.1,277545,277545,7834.658576042788,7051192.718438509,7052207.598494374,0.9998560904451987,0.00014390955480124364,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,r90,90,0,0,300,25,35,333218,37,332154,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,4440,4440,38.70173889466651,313484.08504679875,362136.6318714776,0.8656514073893921,0.13434859261060791,no
07,Svalbard and Jan Mayen,77,18,rgi7.0|07|south=+77|west=+018,0434d768cf5e995404eb7f6a1b4446a7aa11ff37495bf0dc05d703f8228427e2,r90,90,0,0,300,25,35,333218,37,332154,permafrost,outside_glacier_pzi_ge_0.1,30904,30904,808.9793248971789,6552732.53166715,7052207.598494374,0.9291746506535257,0.07082534934647429,no
08,Scandinavia,69,21,rgi7.0|08|south=+69|west=+021,1350821d7673e6914225fbdad143bf2e01f69ac8cb067a978c6f1b36bb82d7f0,p00,30,0,0,300,25,35,4846360,317,4846360,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,7638,7638,1051.468423868831,946321.5814819479,946321.5814819479,1.0,0.0,no
08,Scandinavia,69,21,rgi7.0|08|south=+69|west=+021,1350821d7673e6914225fbdad143bf2e01f69ac8cb067a978c6f1b36bb82d7f0,p00,30,0,0,300,25,35,4846360,317,4846360,permafrost,outside_glacier_pzi_ge_0.1,3672805,3672805,107839.63744825023,97055673.7034252,97055673.7034252,1.0,0.0,no
08,Scandinavia,69,21,rgi7.0|08|south=+69|west=+021,1350821d7673e6914225fbdad143bf2e01f69ac8cb067a978c6f1b36bb82d7f0,p10,30,15,0,300,25,35,4846330,317,4846330,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,7647,7647,1054.2822537908885,948854.0284117997,946321.5814819479,1.0026760955043272,0.00267609550432734,no
08,Scandinavia,69,21,rgi7.0|08|south=+69|west=+021,1350821d7673e6914225fbdad143bf2e01f69ac8cb067a978c6f1b36bb82d7f0,p10,30,15,0,300,25,35,4846330,317,4846330,permafrost,outside_glacier_pzi_ge_0.1,3672665,3672665,107862.52407244117,97076271.66519706,97055673.7034252,1.000212228311709,0.00021222831170903298,no
