region,region_name,region_digest,window_rank,window_digest,window_key,south,west,glacier_count,inventory_area_km2
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,1,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,rgi7.0|10|south=+65|west=+145,65,145,37,12.85427659165791
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,2,02e0a3c767bbb28722b606c0060125a565bce6d10c683108bdddd06bc28bf27e,rgi7.0|10|south=+60|west=+170,60,170,25,1.908551323415628
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,3,0512a19c6e01d2cff51f82daa5296236f0e168b89cb254915cfd5955290129ca,rgi7.0|10|south=+60|west=+171,60,171,24,1.739290306586171
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,4,080b50755b0ba426bdd2c16dd52ba6459cc1f0d98052f4942bbc7204201e0543,rgi7.0|10|south=+48|west=+090,48,90,159,94.88589496699686
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,5,105dfc15473c035e2d7c6f8e2ff5a54a896534601fc70fb2bacae9c347e9474b,rgi7.0|10|south=+61|west=+171,61,171,131,30.372153451090362
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,6,123b23de905fa8a11bcca9c7f524b529de019daf910d4005499ded2c84e5e945,rgi7.0|10|south=+57|west=+160,57,160,652,192.59008833108985
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,7,12caa9fa767dd4a4459d36f466e302ffe0cf8999e580604ff9d2bee58982634a,rgi7.0|10|south=+56|west=+159,56,159,178,63.16023630044008
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,8,14e5a31919286658e721a412589c29a9b1dcb52211ea1771579b02b9f8c772dc,rgi7.0|10|south=+62|west=+176,62,176,94,11.267245760739849
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,9,1715855cf2750d079326b3bd2092b335f67ce936b9996cdc2e3c461789fc1ffc,rgi7.0|10|south=+61|west=+170,61,170,21,5.237672169609693
10,North Asia,5b16eb47c0f2b54bea77eabd0dea16b33b9bdd8a9783f0c5049511d56a08cf9e,10,1dfe8fd0ec163ada0c495e2366ef7faca84d23e27adc94c86db9aa72a0dba1d0,rgi7.0|10|south=+61|west=+161,61,161,13,1.5273705069024819
