region,region_name,south,west,window_key,window_sha256,variant,spacing_m,phase_x_m,phase_y_m,support_radius_m,ramp_lower_deg,ramp_upper_deg,report_cell_count,support_disk_cell_count,complete_support_cell_count,stratum,mask_definition,stratum_center_count,integration_cell_count,weighted_cell_sum,equivalent_steep_area_m2,reference_equivalent_area_m2,area_ratio,fractional_departure,structural_zero
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p00,30,0,0,300,25,35,5734876,317,5734876,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,13753,13753,3120.1057998144547,2808095.2198330094,2808095.2198330094,1.0,0.0,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p00,30,0,0,300,25,35,5734876,317,5734876,permafrost,outside_glacier_pzi_ge_0.1,5719794,5719794,321164.36523230525,289047928.70907474,289047928.70907474,1.0,0.0,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p10,30,15,0,300,25,35,5734874,317,5734874,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,13748,13748,3100.059962724941,2790053.966452447,2808095.2198330094,0.9935752700787565,0.006424729921243571,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p10,30,15,0,300,25,35,5734874,317,5734874,permafrost,outside_glacier_pzi_ge_0.1,5719806,5719806,321198.086961244,289078278.2651196,289047928.70907474,1.0001049983515897,0.00010499835158972286,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p01,30,0,15,300,25,35,5735060,317,5735060,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,13690,13690,3124.904131113595,2812413.7180022355,2808095.2198330094,1.0015378745488135,0.0015378745488135253,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p01,30,0,15,300,25,35,5735060,317,5735060,permafrost,outside_glacier_pzi_ge_0.1,5719966,5719966,321143.8304651804,289029447.41866237,289047928.70907474,0.9999360615019975,6.393849800241162e-05,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p11,30,15,15,300,25,35,5735057,317,5735057,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,13712,13712,3117.613960170167,2805852.56415315,2808095.2198330094,0.9992013605293654,0.0007986394706346839,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,p11,30,15,15,300,25,35,5735057,317,5735057,permafrost,outside_glacier_pzi_ge_0.1,5719986,5719986,321173.99153097917,289056592.3778812,289047928.70907474,1.000029973121915,2.9973121915062124e-05,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,r90,90,0,0,300,25,35,637227,37,637227,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,1545,1545,338.29459229406194,2740186.1975819017,2808095.2198330094,0.9758166953273236,0.024183304672676348,no
10,North Asia,65,145,rgi7.0|10|south=+65|west=+145,02c3f6745618b8cd244f3e3490d27e2f31774bf45d13ea1cc74bfc0bd53b5a81,r90,90,0,0,300,25,35,637227,37,637227,permafrost,outside_glacier_pzi_ge_0.1,635547,635547,34218.116666154085,277166744.99584806,289047928.70907474,0.958895454583295,0.04110454541670502,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p00,30,0,0,300,25,35,9984018,317,9983928,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,23540,23540,9125.665047453178,8213098.5427078605,8213098.5427078605,1.0,0.0,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p00,30,0,0,300,25,35,9984018,317,9983928,permafrost,outside_glacier_pzi_ge_0.1,931,931,578.9681957455763,521071.37617101864,521071.37617101864,1.0,0.0,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p10,30,15,0,300,25,35,9983982,317,9983903,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,23495,23495,9133.648546720955,8220283.69204886,8213098.5427078605,1.0008748402693133,0.0008748402693133118,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p10,30,15,0,300,25,35,9983982,317,9983903,permafrost,outside_glacier_pzi_ge_0.1,934,934,578.188071095331,520369.2639857979,521071.37617101864,0.9986525604411817,0.0013474395588183694,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p01,30,0,15,300,25,35,9983764,317,9983685,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,23442,23442,9102.469776075237,8192222.798467713,8213098.5427078605,0.9974582377002305,0.002541762299769549,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p01,30,0,15,300,25,35,9983764,317,9983685,permafrost,outside_glacier_pzi_ge_0.1,928,928,576.2871640532271,518658.4476479044,521071.37617101864,0.9953692936640559,0.0046307063359440894,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p11,30,15,15,300,25,35,9983737,317,9983668,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,23485,23485,9120.531502289137,8208478.352060224,8213098.5427078605,0.99943746070699,0.0005625392930100243,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p11,30,15,15,300,25,35,9983737,317,9983668,permafrost,outside_glacier_pzi_ge_0.1,930,930,577.8876743952426,520098.90695571835,521071.37617101864,0.9981337120790509,0.0018662879209490743,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,r90,90,0,0,300,25,35,1109191,37,1109178,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,2613,2613,986.4464566605959,7990216.298950827,8213098.5427078605,0.972862587414719,0.027137412585281045,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,r90,90,0,0,300,25,35,1109191,37,1109178,permafrost,outside_glacier_pzi_ge_0.1,104,104,60.93387283658665,493564.36997635185,521071.37617101864,0.9472106750580005,0.05278932494199955,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p00,30,0,0,300,25,35,12055784,317,12055784,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,56073,56073,17223.642361455415,15501278.125309873,15501278.125309873,1.0,0.0,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p00,30,0,0,300,25,35,12055784,317,12055784,permafrost,outside_glacier_pzi_ge_0.1,911770,911770,330467.71454881434,297420943.0939329,297420943.0939329,1.0,0.0,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p10,30,15,0,300,25,35,12055872,317,12055872,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,56083,56083,17255.52417165556,15529971.754490005,15501278.125309873,1.0018510492456285,0.0018510492456284401,no
