"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-04-00001","04","04-01","G279223E73551N",1018658,817,"2001-07-29T00:00:00",-80.77678182038835,73.550745,17,0.021832333702551,0,0,0,9,"",0,-80.77778735669965,73.55161961693896,266.46198,355.90985,324.9988,321.7802,27.492851,347.4997978210449,1.0,"COPDEM30",192
"RGI2000-v7.0-G-04-00002","04","04-01","G279248E73551N",1018664,817,"2001-07-29T00:00:00",-80.75237831979487,73.5510155,17,0.015777613242478,0,0,0,9,"",0,-80.754363369393,73.55115638348678,477.34204,539.9004,510.01355,509.65628,30.98732,313.885311126709,8.0,"COPDEM30",132
"RGI2000-v7.0-G-04-00003","04","04-01","G279291E73547N",1018673,817,"2001-07-29T00:00:00",-80.70929810555558,73.54678150000001,17,0.032231508042811,0,0,0,9,"",0,-80.713780110277,73.54818580085507,660.6687,746.79364,696.8645,697.95337,16.175524,284.9177322387696,7.0,"COPDEM30",404
"RGI2000-v7.0-G-04-00004","04","04-01","G279319E73548N",1018677,817,"2001-07-29T00:00:00",-80.68125846457446,73.54770500000001,17,0.045780651762733,0,0,0,9,"",0,-80.68826594513848,73.5478018243791,811.19257,894.17114,850.0576,851.1225,22.949802,331.64939880371094,8.0,"COPDEM30",482
"RGI2000-v7.0-G-04-00005","04","04-01","G279377E73550N",1018684,817,"2001-07-29T00:00:00",-80.62259723305792,73.5495,17,0.023432537632618,0,0,0,9,"",0,-80.62497804908942,73.54901107504472,982.29144,1028.0704,1006.64966,1006.0897,20.454447,195.6094207763672,5.0,"COPDEM30",191
"RGI2000-v7.0-G-04-00006","04","04-01","G279422E73551N",1018691,817,"2001-07-29T00:00:00",-80.57617555143813,73.55062749999999,17,0.463183943103124,0,0,0,9,"",0,-80.58950134447811,73.54555559689994,674.5659,1115.2297,886.76636,894.5839,20.034086,226.1934814453125,6.0,"COPDEM30",1412
"RGI2000-v7.0-G-04-00007","04","04-01","G279448E73547N",1018694,817,"2001-07-29T00:00:00",-80.54279729718971,73.54830899999999,17,1.044823771083578,0,0,0,9,"",0,-80.58340304943636,73.53975025411702,563.385,1184.5537,789.68854,797.35986,18.126396,269.30943298339844,7.0,"COPDEM30",2724
"RGI2000-v7.0-G-04-00008","04","04-01","G279476E73559N",1018697,817,"2001-07-29T00:00:00",-80.52374890319149,73.559483,17,0.113756243902116,0,0,0,9,"",0,-80.52802062787418,73.55854526695187,1298.4727,1449.4047,1404.0875,1393.9645,23.276255,192.0439910888672,5.0,"COPDEM30",370
"RGI2000-v7.0-G-04-00009","04","04-01","G279534E73557N",1018701,817,"2001-07-29T00:00:00",-80.46551301481887,73.556898,17,0.041226103964931,0,0,0,9,"",0,-80.46960402762147,73.55625597562403,1304.4775,1412.8422,1384.8317,1379.5732,23.810442,241.1244964599609,6.0,"COPDEM30",370
"RGI2000-v7.0-G-04-00010","04","04-01","G279483E73533N",1018698,817,"2001-07-29T00:00:00",-80.51236787061262,73.5378295,17,11.62935301370816,0,0,0,9,"",0,-80.68037604000017,73.51914556539192,172.21805,1429.8647,777.55347,773.2271,13.7611265,311.6483917236328,8.0,"COPDEM30",9438
