"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-18-00001","18","18-01","G167272E45234S",770330,749,"2002-01-20T00:00:00",167.27182011728053,-45.233999,58,0.058084405129617,0,0,0,9,"",0,167.2719132244074,-45.23508308173791,1489.1799,1657.2649,1575.0677,1576.6439,32.60273,187.0592498779297,5,"COPDEM30",256
"RGI2000-v7.0-G-18-00002","18","18-01","G167362E45177S",770331,749,"2002-01-20T00:00:00",167.36222920883534,-45.177463,58,0.066871242777949,0,0,0,9,"",0,167.36274961462814,-45.17935160926247,1515.295,1789.1772,1625.0255,1625.7789,36.534912,115.070404,4,"COPDEM30",460
"RGI2000-v7.0-G-18-00003","18","18-01","G167413E45067S",770332,749,"2002-01-20T00:00:00",167.41272173742834,-45.066936,58,0.017939273802168,0,0,0,9,"",0,167.41392901186094,-45.06763615771002,1483.8628,1556.5046,1521.1238,1520.4683,28.299353,161.2878,5,"COPDEM30",177
"RGI2000-v7.0-G-18-00004","18","18-01","G167479E45062S",770333,749,"2002-01-20T00:00:00",167.47878184760788,-45.0622475,58,0.012615589806446,0,0,0,9,"",0,167.47840938483148,-45.06292451295346,1558.5374,1622.1255,1610.6179,1602.7349,27.628054,152.3818,4,"COPDEM30",163
"RGI2000-v7.0-G-18-00005","18","18-01","G167712E44848S",770335,749,"2002-01-20T00:00:00",167.7123625182237,-44.848746000000006,58,0.05883091816867,0,0,0,9,"",0,167.71181756407427,-44.849613567493364,1523.8273,1694.9493,1579.4591,1586.1068,36.557293,236.2736434936524,6,"COPDEM30",332
"RGI2000-v7.0-G-18-00006","18","18-01","G167717E44844S",770336,749,"2002-01-20T00:00:00",167.71595075,-44.8448585,58,0.059228124575416,0,0,0,9,"",0,167.7170941623447,-44.84357861172456,1703.3389,1874.3165,1802.6677,1801.2356,29.886522,56.06856,2,"COPDEM30",297
"RGI2000-v7.0-G-18-00007","18","18-01","G167721E44847S",770339,749,"2002-01-20T00:00:00",167.7208067224351,-44.846978,58,0.01019653919249,0,0,0,9,"",0,167.7215768177898,-44.84643057598809,1732.7441,1779.1309,1761.4088,1759.3732,15.062987,33.860546,2,"COPDEM30",191
"RGI2000-v7.0-G-18-00008","18","18-01","G167720E44851S",770337,749,"2002-01-20T00:00:00",167.71937178885076,-44.850069000000005,58,0.36634364690335,0,0,0,9,"",0,167.71937837085326,-44.8532404000112,1489.3163,1870.45,1687.8447,1688.5638,26.943977,169.9473,5,"COPDEM30",844
"RGI2000-v7.0-G-18-00009","18","18-01","G167735E44826S",770342,749,"2002-01-20T00:00:00",167.73740228156706,-44.824130499999995,58,0.023168463345172,0,0,0,9,"",0,167.73739325653582,-44.8250143304122,1574.8762,1657.5225,1622.5399,1619.7327,19.066341,178.678,5,"COPDEM30",250
"RGI2000-v7.0-G-18-00010","18","18-01","G167760E44828S",770344,749,"2002-01-20T00:00:00",167.76021079810727,-44.826448,58,0.288881806193129,0,0,0,9,"",0,167.75598987008672,-44.82747446792785,1536.5212,1771.8917,1659.7935,1660.1283,30.646917,193.83009338378903,5,"COPDEM30",707
