region,variant,spacing_m,report_cell_count,dem_finite_center_count,pzi_finite_center_count,glacier_predicate_coverage_count,pzi_outside_glacier_coverage_count
10,p00,30,5734876,5734876,5734876,5734876,5719794
10,p10,30,5734874,5734874,5734874,5734874,5719806
10,p01,30,5735060,5735060,5735060,5735060,5719966
10,p11,30,5735057,5735057,5735057,5735057,5719986
10,r90,90,637227,637227,637227,637227,635547
18,p00,30,9984018,9984017,9984018,9984018,9967222
18,p10,30,9983982,9983982,9983982,9983982,9967145
18,p01,30,9983764,9983764,9983764,9983764,9966908
18,p11,30,9983737,9983737,9983737,9983737,9966923
18,r90,90,1109191,1109190,1109191,1109191,1107337
15,p00,30,12055784,12055784,12055784,12055784,12000871
15,p10,30,12055872,12055872,12055872,12055872,12000981
15,p01,30,12056046,12056046,12056046,12056046,12001119
15,p11,30,12056131,12056131,12056131,12056131,12001323
15,r90,90,1339734,1339734,1339734,1339734,1333658
04,p00,30,4163240,4163240,4163240,4163240,3957720
04,p10,30,4163232,4163232,4163232,4163232,3957726
04,p01,30,4163068,4163068,4163068,4163068,3957583
04,p11,30,4163065,4163065,4163065,4163065,3957512
04,r90,90,462568,462568,462568,462568,439736
