region,layer,rows,columns,affine,source_count,source_set_sha256,finite_cell_count,value_sha256,replay_value_sha256,replay_affine_equal,replay_max_abs_difference
10,p00,3789,1641,"(30.0, 0.0, -24600.0, 0.0, -30.0, 56910.0, 0.0, 0.0, 1.0)",9,45a8e00430a6bdeb97e9b18d66244a5867b4478889a7d8a6023fadbf713c11a4,6217749,6182019f6c42c2f6670fde432e7a3f15bc2aee6bf7c81de864cfcfe46aea72ea,6182019f6c42c2f6670fde432e7a3f15bc2aee6bf7c81de864cfcfe46aea72ea,True,0.0
10,p10,3787,1641,"(30.0, 0.0, -24615.0, 0.0, -30.0, 56850.0, 0.0, 0.0, 1.0)",9,45a8e00430a6bdeb97e9b18d66244a5867b4478889a7d8a6023fadbf713c11a4,6214467,ee75aab40ac6486afb5ac1f9e1bf11f5348433b3e961d5d258e4f6038e4fd8c9,ee75aab40ac6486afb5ac1f9e1bf11f5348433b3e961d5d258e4f6038e4fd8c9,True,0.0
10,p01,3788,1640,"(30.0, 0.0, -24600.0, 0.0, -30.0, 56865.0, 0.0, 0.0, 1.0)",9,45a8e00430a6bdeb97e9b18d66244a5867b4478889a7d8a6023fadbf713c11a4,6212320,acbcd29b965ee8ceab67088ebcec753cea5b1fa71b37f7dcd6c94056e949ea29,acbcd29b965ee8ceab67088ebcec753cea5b1fa71b37f7dcd6c94056e949ea29,True,0.0
10,p11,3788,1641,"(30.0, 0.0, -24615.0, 0.0, -30.0, 56865.0, 0.0, 0.0, 1.0)",9,45a8e00430a6bdeb97e9b18d66244a5867b4478889a7d8a6023fadbf713c11a4,6216108,7d4476f3086bebe149837b694d2071243df60a9d41acc871ae0e61bb279bf02e,7d4476f3086bebe149837b694d2071243df60a9d41acc871ae0e61bb279bf02e,True,0.0
10,pzi,144,144,"(0.008333333333333333, 0.0, 144.9, 0.0, -0.008333333333333333, 66.1, 0.0, 0.0, 1.0)",1,6ab722aab64bcc46f6bb34b6815b15b5b14d68f2e1f35b62b84869a78e484063,20736,1db33e9993e3f26cf0a0cc3205835fc7fba7681eb01fa092616d8429fc20eedf,1db33e9993e3f26cf0a0cc3205835fc7fba7681eb01fa092616d8429fc20eedf,True,0.0
18,p00,3777,2787,"(30.0, 0.0, -41790.0, 0.0, -30.0, 56610.0, 0.0, 0.0, 1.0)",8,c4517c750c69a55d148a4bf4c781a1f182e5572e63332250a3835f2a9df6ab70,10524489,c23245e5d17a5a0fc38940da9333780b8df9fbacdb93f3236a322c01b6d16f7c,c23245e5d17a5a0fc38940da9333780b8df9fbacdb93f3236a322c01b6d16f7c,True,0.0
18,p10,3775,2785,"(30.0, 0.0, -41775.0, 0.0, -30.0, 56550.0, 0.0, 0.0, 1.0)",8,c4517c750c69a55d148a4bf4c781a1f182e5572e63332250a3835f2a9df6ab70,10511433,b36c042fc30eb583f635becec596d0809548bc61e23b181c4d55977ea43ad32c,b36c042fc30eb583f635becec596d0809548bc61e23b181c4d55977ea43ad32c,True,0.0
18,p01,3775,2786,"(30.0, 0.0, -41790.0, 0.0, -30.0, 56565.0, 0.0, 0.0, 1.0)",8,c4517c750c69a55d148a4bf4c781a1f182e5572e63332250a3835f2a9df6ab70,10515212,a15d6bb32427bc69e5d279cf9bf53252dc398af6706d9b4c6740d1bed16a5c16,a15d6bb32427bc69e5d279cf9bf53252dc398af6706d9b4c6740d1bed16a5c16,True,0.0
18,p11,3775,2785,"(30.0, 0.0, -41775.0, 0.0, -30.0, 56565.0, 0.0, 0.0, 1.0)",8,c4517c750c69a55d148a4bf4c781a1f182e5572e63332250a3835f2a9df6ab70,10511471,6ad498ddc2dbf28b676859855b0ff013dedd084b705dac753b31fd8a76062b6b,6ad498ddc2dbf28b676859855b0ff013dedd084b705dac753b31fd8a76062b6b,True,0.0
18,pzi,144,144,"(0.008333333333333333, 0.0, 170.9, 0.0, -0.008333333333333333, -42.9, 0.0, 0.0, 1.0)",1,046c895724ef15cb759c04d2509352c992992c6fadb121197870d2fb1715143f,20736,0fc38f25077be0255fa3613a928ff49fe4eaffc630911b60643d6ddc054deeff,0fc38f25077be0255fa3613a928ff49fe4eaffc630911b60643d6ddc054deeff,True,0.0
15,p00,3765,3348,"(30.0, 0.0, -50190.0, 0.0, -30.0, 56520.0, 0.0, 0.0, 1.0)",9,e77ff683642f67a029db834880c201f974aef2f8214266f233687d8d50ef38fc,12605220,6196522f81223b067a2863723b002d124338abd0ac7ef37527f4e54f6acec8cf,6196522f81223b067a2863723b002d124338abd0ac7ef37527f4e54f6acec8cf,True,0.0
15,p10,3765,3347,"(30.0, 0.0, -50205.0, 0.0, -30.0, 56520.0, 0.0, 0.0, 1.0)",9,e77ff683642f67a029db834880c201f974aef2f8214266f233687d8d50ef38fc,12601455,9dfe65b1816bde2c4526da1ae40b9d906391011436245ba64e3d84b0c9043db1,9dfe65b1816bde2c4526da1ae40b9d906391011436245ba64e3d84b0c9043db1,True,0.0
15,p01,3765,3346,"(30.0, 0.0, -50190.0, 0.0, -30.0, 56535.0, 0.0, 0.0, 1.0)",9,e77ff683642f67a029db834880c201f974aef2f8214266f233687d8d50ef38fc,12597690,db351a826bad6737f9ddcb7636c314325492c09ecdf0603c04b4ea35d513db23,db351a826bad6737f9ddcb7636c314325492c09ecdf0603c04b4ea35d513db23,True,0.0
15,p11,3765,3347,"(30.0, 0.0, -50205.0, 0.0, -30.0, 56535.0, 0.0, 0.0, 1.0)",9,e77ff683642f67a029db834880c201f974aef2f8214266f233687d8d50ef38fc,12601455,77f0b2dc9e167f999d533005613c6f5bbb8186835dfd250dba1ea8aecee8bd16,77f0b2dc9e167f999d533005613c6f5bbb8186835dfd250dba1ea8aecee8bd16,True,0.0
15,pzi,144,144,"(0.008333333333333333, 0.0, 95.9, 0.0, -0.008333333333333333, 29.1, 0.0, 0.0, 1.0)",1,72b64d3e3a626b5b8b06766cdb2d55a86a2e7a430d7192958719b466f7e2fc17,20736,0b688d3a5cd9d4c504233a22697c1d078746e236ef5082a1ab34ddba6644b3e5,0b688d3a5cd9d4c504233a22697c1d078746e236ef5082a1ab34ddba6644b3e5,True,0.0
04,p00,3792,1218,"(30.0, 0.0, -18270.0, 0.0, -30.0, 56940.0, 0.0, 0.0, 1.0)",9,7f928ff757f094f3a1245e6b16f90f247102035530cb1b0d7d78286449976718,4618656,d695c3f6b1eeb9cb1a80246b18fb1a7b7bda030359c098dcc8dd6286c0f4be67,d695c3f6b1eeb9cb1a80246b18fb1a7b7bda030359c098dcc8dd6286c0f4be67,True,0.0
04,p10,3790,1217,"(30.0, 0.0, -18255.0, 0.0, -30.0, 56880.0, 0.0, 0.0, 1.0)",9,7f928ff757f094f3a1245e6b16f90f247102035530cb1b0d7d78286449976718,4612430,ce2fd65530d9e03a50ba0b5e6a721c6f0edec73023e0b9eb18315c99e8cb6466,ce2fd65530d9e03a50ba0b5e6a721c6f0edec73023e0b9eb18315c99e8cb6466,True,0.0
04,p01,3789,1218,"(30.0, 0.0, -18270.0, 0.0, -30.0, 56865.0, 0.0, 0.0, 1.0)",9,7f928ff757f094f3a1245e6b16f90f247102035530cb1b0d7d78286449976718,4615002,45c5818da064fdb6eba566faf07312e6b4c7e2d441fddfe511ddc4b2bad8eaf5,45c5818da064fdb6eba566faf07312e6b4c7e2d441fddfe511ddc4b2bad8eaf5,True,0.0
04,p11,3789,1217,"(30.0, 0.0, -18255.0, 0.0, -30.0, 56865.0, 0.0, 0.0, 1.0)",9,7f928ff757f094f3a1245e6b16f90f247102035530cb1b0d7d78286449976718,4611213,1f84692be20126f8dc9a06a92c6354688238153fad6fb306f898defb53f3c4f5,1f84692be20126f8dc9a06a92c6354688238153fad6fb306f898defb53f3c4f5,True,0.0
04,pzi,144,144,"(0.008333333333333333, 0.0, -79.1, 0.0, -0.008333333333333333, 73.1, 0.0, 0.0, 1.0)",1,001292b8689b75e590a145e1d0c461bff17c077cc52aae97776372c46af27c6e,20736,fd3c275fea037bc4465bd8923ab9dbffc4449db08f6f58af46f5358b54656466,fd3c275fea037bc4465bd8923ab9dbffc4449db08f6f58af46f5358b54656466,True,0.0
